"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2017","2017","Renal failure","N17-N19",544,12802023,4.2
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2017","2017",,,1087,12802023,8.5
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17",,,,,9121,102801416,8.9
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2010","2010","Other bacterial diseases","A30-A49",309,6483802,4.8
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2010","2010","Renal failure","N17-N19",308,6483802,4.8
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2010","2010",,,617,6483802,9.5
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2011","2011","Other bacterial diseases","A30-A49",470,6516922,7.2
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2011","2011","Renal failure","N17-N19",474,6516922,7.3
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2011","2011",,,944,6516922,14.5
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2012","2012","Other bacterial diseases","A30-A49",506,6537334,7.7
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2012","2012","Renal failure","N17-N19",508,6537334,7.8
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2012","2012",,,1014,6537334,15.5
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2013","2013","Other bacterial diseases","A30-A49",557,6570902,8.5
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2013","2013","Renal failure","N17-N19",565,6570902,8.6
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2013","2013",,,1122,6570902,17.1
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2014","2014","Other bacterial diseases","A30-A49",583,6596855,8.8
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2014","2014","Renal failure","N17-N19",592,6596855,9.0
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2014","2014",,,1175,6596855,17.8
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2015","2015","Other bacterial diseases","A30-A49",603,6619680,9.1
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2015","2015","Renal failure","N17-N19",609,6619680,9.2
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2015","2015",,,1212,6619680,18.3
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2016","2016","Other bacterial diseases","A30-A49",576,6633053,8.7
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2016","2016","Renal failure","N17-N19",579,6633053,8.7
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2016","2016",,,1155,6633053,17.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2017","2017","Other bacterial diseases","A30-A49",572,6666818,8.6
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2017","2017","Renal failure","N17-N19",581,6666818,8.7
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2017","2017",,,1153,6666818,17.3
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18",,,,,8392,52625366,15.9
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2010","2010","Other bacterial diseases","A30-A49",519,9883640,5.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2010","2010","Renal failure","N17-N19",526,9883640,5.3
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2010","2010",,,1045,9883640,10.6
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2011","2011","Other bacterial diseases","A30-A49",527,9876187,5.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2011","2011","Renal failure","N17-N19",542,9876187,5.5
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2011","2011",,,1069,9876187,10.8
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2012","2012","Other bacterial diseases","A30-A49",444,9883360,4.5
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2012","2012","Renal failure","N17-N19",451,9883360,4.6
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2012","2012",,,895,9883360,9.1
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2013","2013","Other bacterial diseases","A30-A49",440,9895622,4.4
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2013","2013","Renal failure","N17-N19",443,9895622,4.5
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2013","2013",,,883,9895622,8.9
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2014","2014","Other bacterial diseases","A30-A49",396,9909877,4.0
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2014","2014","Renal failure","N17-N19",402,9909877,4.1
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2014","2014",,,798,9909877,8.1
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2015","2015","Other bacterial diseases","A30-A49",439,9922576,4.4
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2015","2015","Renal failure","N17-N19",443,9922576,4.5
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2015","2015",,,882,9922576,8.9
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2016","2016","Other bacterial diseases","A30-A49",413,9928300,4.2
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2016","2016","Renal failure","N17-N19",414,9928300,4.2
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2016","2016",,,827,9928300,8.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2017","2017","Other bacterial diseases","A30-A49",399,9962311,4.0
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2017","2017","Renal failure","N17-N19",403,9962311,4.0
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26","2017","2017",,,802,9962311,8.1
"Total","Census Region 2: Midwest","CENS-R2","Michigan","26",,,,,7201,79261873,9.1
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2010","2010","Other bacterial diseases","A30-A49",638,11536504,5.5
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2010","2010","Renal failure","N17-N19",640,11536504,5.5
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2010","2010",,,1278,11536504,11.1
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2011","2011","Other bacterial diseases","A30-A49",607,11544951,5.3
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2011","2011","Renal failure","N17-N19",608,11544951,5.3
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2011","2011",,,1215,11544951,10.5
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2012","2012","Other bacterial diseases","A30-A49",601,11544225,5.2
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2012","2012","Renal failure","N17-N19",603,11544225,5.2
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2012","2012",,,1204,11544225,10.4
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2013","2013","Other bacterial diseases","A30-A49",586,11570808,5.1
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2013","2013","Renal failure","N17-N19",585,11570808,5.1
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2013","2013",,,1171,11570808,10.1
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2014","2014","Other bacterial diseases","A30-A49",572,11594163,4.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2014","2014","Renal failure","N17-N19",573,11594163,4.9
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2014","2014",,,1145,11594163,9.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2015","2015","Other bacterial diseases","A30-A49",557,11613423,4.8
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2015","2015","Renal failure","N17-N19",559,11613423,4.8
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2015","2015",,,1116,11613423,9.6
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2016","2016","Other bacterial diseases","A30-A49",580,11614373,5.0
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2016","2016","Renal failure","N17-N19",581,11614373,5.0
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2016","2016",,,1161,11614373,10.0
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2017","2017","Other bacterial diseases","A30-A49",515,11658609,4.4
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2017","2017","Renal failure","N17-N19",518,11658609,4.4
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39","2017","2017",,,1033,11658609,8.9
"Total","Census Region 2: Midwest","CENS-R2","Ohio","39",,,,,9323,92677056,10.1
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2010","2010","Other bacterial diseases","A30-A49",240,5686986,4.2
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2010","2010","Renal failure","N17-N19",242,5686986,4.3
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2010","2010",,,482,5686986,8.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2011","2011","Other bacterial diseases","A30-A49",229,5711767,4.0
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2011","2011","Renal failure","N17-N19",230,5711767,4.0
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2011","2011",,,459,5711767,8.0
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2012","2012","Other bacterial diseases","A30-A49",238,5726398,4.2
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2012","2012","Renal failure","N17-N19",238,5726398,4.2
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2012","2012",,,476,5726398,8.3
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2013","2013","Other bacterial diseases","A30-A49",236,5742713,4.1
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2013","2013","Renal failure","N17-N19",237,5742713,4.1
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2013","2013",,,473,5742713,8.2
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2014","2014","Other bacterial diseases","A30-A49",287,5757564,5.0
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2014","2014","Renal failure","N17-N19",288,5757564,5.0
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2014","2014",,,575,5757564,10.0
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2015","2015","Other bacterial diseases","A30-A49",294,5771337,5.1
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2015","2015","Renal failure","N17-N19",296,5771337,5.1
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2015","2015",,,590,5771337,10.2
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2016","2016","Other bacterial diseases","A30-A49",318,5778708,5.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2016","2016","Renal failure","N17-N19",321,5778708,5.6
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2016","2016",,,639,5778708,11.1
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2017","2017","Other bacterial diseases","A30-A49",306,5795483,5.3
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2017","2017","Renal failure","N17-N19",314,5795483,5.4
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2017","2017",,,620,5795483,10.7
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55",,,,,4314,45970956,9.4
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2010","2010","Other bacterial diseases","A30-A49",110,3046355,3.6
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2010","2010","Renal failure","N17-N19",111,3046355,3.6
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2010","2010",,,221,3046355,7.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2011","2011","Other bacterial diseases","A30-A49",116,3062309,3.8
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2011","2011","Renal failure","N17-N19",118,3062309,3.9
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2011","2011",,,234,3062309,7.6
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2012","2012","Other bacterial diseases","A30-A49",128,3074186,4.2
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2012","2012","Renal failure","N17-N19",129,3074186,4.2
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2012","2012",,,257,3074186,8.4
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2013","2013","Other bacterial diseases","A30-A49",125,3090416,4.0
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2013","2013","Renal failure","N17-N19",127,3090416,4.1
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2013","2013",,,252,3090416,8.2
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2014","2014","Other bacterial diseases","A30-A49",163,3107126,5.2
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2014","2014","Renal failure","N17-N19",164,3107126,5.3
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2014","2014",,,327,3107126,10.5
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2015","2015","Other bacterial diseases","A30-A49",149,3123899,4.8
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2015","2015","Renal failure","N17-N19",149,3123899,4.8
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2015","2015",,,298,3123899,9.5
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2016","2016","Other bacterial diseases","A30-A49",145,3134693,4.6
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2016","2016","Renal failure","N17-N19",147,3134693,4.7
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2016","2016",,,292,3134693,9.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2017","2017","Other bacterial diseases","A30-A49",202,3145711,6.4
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2017","2017","Renal failure","N17-N19",205,3145711,6.5
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2017","2017",,,407,3145711,12.9
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19",,,,,2288,24784695,9.2
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2010","2010","Other bacterial diseases","A30-A49",121,2853118,4.2
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2010","2010","Renal failure","N17-N19",121,2853118,4.2
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2010","2010",,,242,2853118,8.5
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2011","2011","Other bacterial diseases","A30-A49",133,2871238,4.6
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2011","2011","Renal failure","N17-N19",133,2871238,4.6
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2011","2011",,,266,2871238,9.3
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2012","2012","Other bacterial diseases","A30-A49",118,2885905,4.1
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2012","2012","Renal failure","N17-N19",119,2885905,4.1
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2012","2012",,,237,2885905,8.2
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2013","2013","Other bacterial diseases","A30-A49",136,2893957,4.7
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2013","2013","Renal failure","N17-N19",137,2893957,4.7
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2013","2013",,,273,2893957,9.4
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2014","2014","Other bacterial diseases","A30-A49",108,2904021,3.7
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2014","2014","Renal failure","N17-N19",111,2904021,3.8
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2014","2014",,,219,2904021,7.5
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2015","2015","Other bacterial diseases","A30-A49",147,2911641,5.0
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2015","2015","Renal failure","N17-N19",147,2911641,5.0
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2015","2015",,,294,2911641,10.1
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2016","2016","Other bacterial diseases","A30-A49",169,2907289,5.8
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2016","2016","Renal failure","N17-N19",170,2907289,5.8
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2016","2016",,,339,2907289,11.7
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2017","2017","Other bacterial diseases","A30-A49",183,2913123,6.3
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2017","2017","Renal failure","N17-N19",183,2913123,6.3
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2017","2017",,,366,2913123,12.6
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20",,,,,2236,23140292,9.7
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2010","2010","Other bacterial diseases","A30-A49",204,5303925,3.8
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2010","2010","Renal failure","N17-N19",207,5303925,3.9
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2010","2010",,,411,5303925,7.7
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2011","2011","Other bacterial diseases","A30-A49",204,5344861,3.8
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2011","2011","Renal failure","N17-N19",205,5344861,3.8
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2011","2011",,,409,5344861,7.7
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2012","2012","Other bacterial diseases","A30-A49",161,5379139,3.0
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2012","2012","Renal failure","N17-N19",162,5379139,3.0
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2012","2012",,,323,5379139,6.0
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2013","2013","Other bacterial diseases","A30-A49",171,5420380,3.2
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2013","2013","Renal failure","N17-N19",172,5420380,3.2
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2013","2013",,,343,5420380,6.3
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2014","2014","Other bacterial diseases","A30-A49",178,5457173,3.3
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2014","2014","Renal failure","N17-N19",181,5457173,3.3
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2014","2014",,,359,5457173,6.6
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2015","2015","Other bacterial diseases","A30-A49",216,5489594,3.9
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2015","2015","Renal failure","N17-N19",218,5489594,4.0
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2015","2015",,,434,5489594,7.9
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2016","2016","Other bacterial diseases","A30-A49",209,5519952,3.8
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2016","2016","Renal failure","N17-N19",212,5519952,3.8
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2016","2016",,,421,5519952,7.6
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2017","2017","Other bacterial diseases","A30-A49",208,5576606,3.7
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2017","2017","Renal failure","N17-N19",213,5576606,3.8
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2017","2017",,,421,5576606,7.5
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27",,,,,3121,43491630,7.2
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2010","2010","Other bacterial diseases","A30-A49",313,5988927,5.2
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2010","2010","Renal failure","N17-N19",313,5988927,5.2
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2010","2010",,,626,5988927,10.5
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2011","2011","Other bacterial diseases","A30-A49",380,6010688,6.3
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2011","2011","Renal failure","N17-N19",381,6010688,6.3
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2011","2011",,,761,6010688,12.7
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2012","2012","Other bacterial diseases","A30-A49",315,6021988,5.2
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2012","2012","Renal failure","N17-N19",315,6021988,5.2
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2012","2012",,,630,6021988,10.5
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2013","2013","Other bacterial diseases","A30-A49",379,6044171,6.3
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2013","2013","Renal failure","N17-N19",382,6044171,6.3
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2013","2013",,,761,6044171,12.6
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2014","2014","Other bacterial diseases","A30-A49",386,6063589,6.4
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2014","2014","Renal failure","N17-N19",387,6063589,6.4
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2014","2014",,,773,6063589,12.7
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2015","2015","Other bacterial diseases","A30-A49",384,6083672,6.3
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2015","2015","Renal failure","N17-N19",388,6083672,6.4
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2015","2015",,,772,6083672,12.7
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2016","2016","Other bacterial diseases","A30-A49",411,6093000,6.7
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2016","2016","Renal failure","N17-N19",417,6093000,6.8
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2016","2016",,,828,6093000,13.6
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2017","2017","Other bacterial diseases","A30-A49",413,6113532,6.8
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2017","2017","Renal failure","N17-N19",415,6113532,6.8
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2017","2017",,,828,6113532,13.5
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29",,,,,5979,48419567,12.3
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2010","2010","Other bacterial diseases","A30-A49",72,1826341,3.9
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2010","2010","Renal failure","N17-N19",71,1826341,3.9
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2010","2010",,,143,1826341,7.8
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2011","2011","Other bacterial diseases","A30-A49",61,1842641,3.3
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2011","2011","Renal failure","N17-N19",61,1842641,3.3
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2011","2011",,,122,1842641,6.6
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2012","2012","Other bacterial diseases","A30-A49",61,1855525,3.3
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2012","2012","Renal failure","N17-N19",62,1855525,3.3
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2012","2012",,,123,1855525,6.6
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2013","2013","Other bacterial diseases","A30-A49",82,1868516,4.4
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2013","2013","Renal failure","N17-N19",82,1868516,4.4
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2013","2013",,,164,1868516,8.8
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2014","2014","Other bacterial diseases","A30-A49",79,1881503,4.2
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2014","2014","Renal failure","N17-N19",78,1881503,4.1
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2014","2014",,,157,1881503,8.3
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2015","2015","Other bacterial diseases","A30-A49",111,1896190,5.9
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2015","2015","Renal failure","N17-N19",111,1896190,5.9
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2015","2015",,,222,1896190,11.7
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2016","2016","Other bacterial diseases","A30-A49",120,1907116,6.3
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2016","2016","Renal failure","N17-N19",120,1907116,6.3
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2016","2016",,,240,1907116,12.6
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2017","2017","Other bacterial diseases","A30-A49",108,1920076,5.6
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2017","2017","Renal failure","N17-N19",109,1920076,5.7
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2017","2017",,,217,1920076,11.3
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31",,,,,1388,14997908,9.3
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2010","2010","Other bacterial diseases","A30-A49",39,672591,5.8
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2010","2010","Renal failure","N17-N19",39,672591,5.8
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2010","2010",,,78,672591,11.6
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2011","2011","Other bacterial diseases","A30-A49",36,683932,5.3
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2011","2011","Renal failure","N17-N19",37,683932,5.4
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2011","2011",,,73,683932,10.7
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2012","2012","Other bacterial diseases","A30-A49",49,699628,7.0
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2012","2012","Renal failure","N17-N19",49,699628,7.0
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2012","2012",,,98,699628,14.0
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2013","2013","Other bacterial diseases","A30-A49",53,723393,7.3
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2013","2013","Renal failure","N17-N19",53,723393,7.3
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2013","2013",,,106,723393,14.7
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2014","2014","Other bacterial diseases","A30-A49",52,739482,7.0
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2014","2014","Renal failure","N17-N19",51,739482,6.9
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2014","2014",,,103,739482,13.9
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2015","2015","Other bacterial diseases","A30-A49",59,756927,7.8
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2015","2015","Renal failure","N17-N19",60,756927,7.9
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2015","2015",,,119,756927,15.7
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2016","2016","Other bacterial diseases","A30-A49",46,757952,6.1
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2016","2016","Renal failure","N17-N19",46,757952,6.1
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2016","2016",,,92,757952,12.1
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2017","2017","Other bacterial diseases","A30-A49",39,755393,5.2
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2017","2017","Renal failure","N17-N19",40,755393,5.3
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2017","2017",,,79,755393,10.5
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38",,,,,748,5789298,12.9
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2010","2010","Other bacterial diseases","A30-A49",20,814180,2.5
