"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2012","2012","Renal failure","N17-N19",261,6646144,3.9
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2012","2012",,,521,6646144,7.8
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2013","2013","Other bacterial diseases","A30-A49",319,6692824,4.8
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2013","2013","Renal failure","N17-N19",319,6692824,4.8
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2013","2013",,,638,6692824,9.5
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2014","2014","Other bacterial diseases","A30-A49",295,6745408,4.4
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2014","2014","Renal failure","N17-N19",296,6745408,4.4
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2014","2014",,,591,6745408,8.8
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2015","2015","Other bacterial diseases","A30-A49",333,6794422,4.9
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2015","2015","Renal failure","N17-N19",334,6794422,4.9
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2015","2015",,,667,6794422,9.8
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2016","2016","Other bacterial diseases","A30-A49",339,6811779,5.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2016","2016","Renal failure","N17-N19",341,6811779,5.0
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2016","2016",,,680,6811779,10.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2017","2017","Other bacterial diseases","A30-A49",306,6859819,4.5
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2017","2017","Renal failure","N17-N19",307,6859819,4.5
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2017","2017",,,613,6859819,8.9
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25",,,,,4987,53685561,9.3
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010","Other bacterial diseases","A30-A49",62,1316470,4.7
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010","Renal failure","N17-N19",64,1316470,4.9
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010",,,126,1316470,9.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011","Other bacterial diseases","A30-A49",63,1318194,4.8
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011","Renal failure","N17-N19",63,1318194,4.8
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011",,,126,1318194,9.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012","Other bacterial diseases","A30-A49",59,1320718,4.5
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012","Renal failure","N17-N19",59,1320718,4.5
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012",,,118,1320718,8.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013","Other bacterial diseases","A30-A49",61,1323459,4.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013","Renal failure","N17-N19",61,1323459,4.6
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013",,,122,1323459,9.2
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014","Other bacterial diseases","A30-A49",61,1326813,4.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014","Renal failure","N17-N19",61,1326813,4.6
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014",,,122,1326813,9.2
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015","Other bacterial diseases","A30-A49",67,1330608,5.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015","Renal failure","N17-N19",67,1330608,5.0
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015",,,134,1330608,10.1
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016","Other bacterial diseases","A30-A49",62,1334795,4.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016","Renal failure","N17-N19",63,1334795,4.7
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016",,,125,1334795,9.4
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2017","2017","Other bacterial diseases","A30-A49",57,1342795,4.2
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2017","2017","Renal failure","N17-N19",58,1342795,4.3
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2017","2017",,,115,1342795,8.6
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33",,,,,988,10613852,9.3
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2010","2010","Other bacterial diseases","A30-A49",75,1052567,7.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2010","2010","Renal failure","N17-N19",75,1052567,7.1
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2010","2010",,,150,1052567,14.3
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2011","2011","Other bacterial diseases","A30-A49",85,1051302,8.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2011","2011","Renal failure","N17-N19",86,1051302,8.2
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2011","2011",,,171,1051302,16.3
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2012","2012","Other bacterial diseases","A30-A49",86,1050292,8.2
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2012","2012","Renal failure","N17-N19",88,1050292,8.4
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2012","2012",,,174,1050292,16.6
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2013","2013","Other bacterial diseases","A30-A49",73,1051511,6.9
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2013","2013","Renal failure","N17-N19",74,1051511,7.0
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2013","2013",,,147,1051511,14.0
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2014","2014","Other bacterial diseases","A30-A49",51,1055173,4.8
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2014","2014","Renal failure","N17-N19",51,1055173,4.8
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2014","2014",,,102,1055173,9.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2015","2015","Other bacterial diseases","A30-A49",51,1056298,4.8
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2015","2015","Renal failure","N17-N19",53,1056298,5.0
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2015","2015",,,104,1056298,9.8
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2016","2016","Other bacterial diseases","A30-A49",50,1056426,4.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2016","2016","Renal failure","N17-N19",51,1056426,4.8
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2016","2016",,,101,1056426,9.6
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2017","2017","Other bacterial diseases","A30-A49",54,1059639,5.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2017","2017","Renal failure","N17-N19",54,1059639,5.1
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2017","2017",,,108,1059639,10.2
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44",,,,,1057,8433208,12.5
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2010","2010","Other bacterial diseases","A30-A49",18,625741,Unreliable
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2010","2010","Renal failure","N17-N19",19,625741,Unreliable
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2010","2010",,,37,625741,5.9
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2011","2011","Other bacterial diseases","A30-A49",20,626431,3.2
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2011","2011","Renal failure","N17-N19",20,626431,3.2
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2011","2011",,,40,626431,6.4
