"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2013","2013",,,2192,5742713,38.2,31.7
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2014","2014","Other bacterial diseases","A30-A49",2446,5757564,42.5,34.7
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2014","2014",,,2446,5757564,42.5,34.7
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2015","2015","Other bacterial diseases","A30-A49",2682,5771337,46.5,37.3
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2015","2015",,,2682,5771337,46.5,37.3
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2016","2016","Other bacterial diseases","A30-A49",2801,5778708,48.5,38.6
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2016","2016",,,2801,5778708,48.5,38.6
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2017","2017","Other bacterial diseases","A30-A49",2861,5795483,49.4,38.9
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55","2017","2017",,,2861,5795483,49.4,38.9
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55",,,,,19134,45970956,41.6,34.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2010","2010","Other bacterial diseases","A30-A49",1209,3046355,39.7,31.8
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2010","2010",,,1209,3046355,39.7,31.8
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2011","2011","Other bacterial diseases","A30-A49",1225,3062309,40.0,31.9
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2011","2011",,,1225,3062309,40.0,31.9
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2012","2012","Other bacterial diseases","A30-A49",1364,3074186,44.4,34.7
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2012","2012",,,1364,3074186,44.4,34.7
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2013","2013","Other bacterial diseases","A30-A49",1397,3090416,45.2,35.1
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2013","2013",,,1397,3090416,45.2,35.1
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2014","2014","Other bacterial diseases","A30-A49",1548,3107126,49.8,38.4
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2014","2014",,,1548,3107126,49.8,38.4
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2015","2015","Other bacterial diseases","A30-A49",1736,3123899,55.6,42.5
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2015","2015",,,1736,3123899,55.6,42.5
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2016","2016","Other bacterial diseases","A30-A49",1651,3134693,52.7,40.3
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2016","2016",,,1651,3134693,52.7,40.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2017","2017","Other bacterial diseases","A30-A49",1848,3145711,58.7,45.1
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2017","2017",,,1848,3145711,58.7,45.1
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19",,,,,11978,24784695,48.3,37.6
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2010","2010","Other bacterial diseases","A30-A49",1190,2853118,41.7,37.6
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2010","2010",,,1190,2853118,41.7,37.6
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2011","2011","Other bacterial diseases","A30-A49",1328,2871238,46.3,40.9
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2011","2011",,,1328,2871238,46.3,40.9
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2012","2012","Other bacterial diseases","A30-A49",1277,2885905,44.2,38.8
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2012","2012",,,1277,2885905,44.2,38.8
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2013","2013","Other bacterial diseases","A30-A49",1361,2893957,47.0,40.4
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2013","2013",,,1361,2893957,47.0,40.4
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2014","2014","Other bacterial diseases","A30-A49",1449,2904021,49.9,42.9
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2014","2014",,,1449,2904021,49.9,42.9
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2015","2015","Other bacterial diseases","A30-A49",1739,2911641,59.7,51.0
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2015","2015",,,1739,2911641,59.7,51.0
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2016","2016","Other bacterial diseases","A30-A49",1691,2907289,58.2,48.6
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2016","2016",,,1691,2907289,58.2,48.6
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2017","2017","Other bacterial diseases","A30-A49",1844,2913123,63.3,52.2
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2017","2017",,,1844,2913123,63.3,52.2
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20",,,,,11879,23140292,51.3,44.2
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2010","2010","Other bacterial diseases","A30-A49",1581,5303925,29.8,27.2
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2010","2010",,,1581,5303925,29.8,27.2
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2011","2011","Other bacterial diseases","A30-A49",1701,5344861,31.8,28.5
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2011","2011",,,1701,5344861,31.8,28.5
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2012","2012","Other bacterial diseases","A30-A49",1636,5379139,30.4,26.7
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2012","2012",,,1636,5379139,30.4,26.7
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2013","2013","Other bacterial diseases","A30-A49",1710,5420380,31.5,27.4
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2013","2013",,,1710,5420380,31.5,27.4
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2014","2014","Other bacterial diseases","A30-A49",1886,5457173,34.6,29.8
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2014","2014",,,1886,5457173,34.6,29.8
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2015","2015","Other bacterial diseases","A30-A49",2152,5489594,39.2,33.0
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2015","2015",,,2152,5489594,39.2,33.0
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2016","2016","Other bacterial diseases","A30-A49",2169,5519952,39.3,32.8
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2016","2016",,,2169,5519952,39.3,32.8
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2017","2017","Other bacterial diseases","A30-A49",2295,5576606,41.2,34.0
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2017","2017",,,2295,5576606,41.2,34.0
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27",,,,,15130,43491630,34.8,30.0
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2010","2010","Other bacterial diseases","A30-A49",2980,5988927,49.8,43.9
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2010","2010",,,2980,5988927,49.8,43.9
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2011","2011","Other bacterial diseases","A30-A49",3279,6010688,54.6,47.7
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2011","2011",,,3279,6010688,54.6,47.7
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2012","2012","Other bacterial diseases","A30-A49",3122,6021988,51.8,44.4
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2012","2012",,,3122,6021988,51.8,44.4
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2013","2013","Other bacterial diseases","A30-A49",3303,6044171,54.6,46.0
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2013","2013",,,3303,6044171,54.6,46.0
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2014","2014","Other bacterial diseases","A30-A49",3595,6063589,59.3,49.2
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2014","2014",,,3595,6063589,59.3,49.2
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2015","2015","Other bacterial diseases","A30-A49",3697,6083672,60.8,50.0
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2015","2015",,,3697,6083672,60.8,50.0
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2016","2016","Other bacterial diseases","A30-A49",3636,6093000,59.7,48.3
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2016","2016",,,3636,6093000,59.7,48.3
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2017","2017","Other bacterial diseases","A30-A49",3703,6113532,60.6,48.3
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2017","2017",,,3703,6113532,60.6,48.3
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29",,,,,27315,48419567,56.4,47.3
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2010","2010","Other bacterial diseases","A30-A49",633,1826341,34.7,30.5
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2010","2010",,,633,1826341,34.7,30.5
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2011","2011","Other bacterial diseases","A30-A49",621,1842641,33.7,29.7
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2011","2011",,,621,1842641,33.7,29.7
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2012","2012","Other bacterial diseases","A30-A49",682,1855525,36.8,32.0
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2012","2012",,,682,1855525,36.8,32.0
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2013","2013","Other bacterial diseases","A30-A49",719,1868516,38.5,33.4
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2013","2013",,,719,1868516,38.5,33.4
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2014","2014","Other bacterial diseases","A30-A49",824,1881503,43.8,37.5
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2014","2014",,,824,1881503,43.8,37.5
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2015","2015","Other bacterial diseases","A30-A49",905,1896190,47.7,40.3
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2015","2015",,,905,1896190,47.7,40.3
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2016","2016","Other bacterial diseases","A30-A49",954,1907116,50.0,42.0
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2016","2016",,,954,1907116,50.0,42.0
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2017","2017","Other bacterial diseases","A30-A49",1004,1920076,52.3,42.7
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2017","2017",,,1004,1920076,52.3,42.7
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31",,,,,6342,14997908,42.3,36.2
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2010","2010","Other bacterial diseases","A30-A49",273,672591,40.6,32.6
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2010","2010",,,273,672591,40.6,32.6
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2011","2011","Other bacterial diseases","A30-A49",276,683932,40.4,33.4
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2011","2011",,,276,683932,40.4,33.4
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2012","2012","Other bacterial diseases","A30-A49",329,699628,47.0,39.4
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2012","2012",,,329,699628,47.0,39.4
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2013","2013","Other bacterial diseases","A30-A49",359,723393,49.6,41.7
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2013","2013",,,359,723393,49.6,41.7
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2014","2014","Other bacterial diseases","A30-A49",360,739482,48.7,41.7
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2014","2014",,,360,739482,48.7,41.7
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2015","2015","Other bacterial diseases","A30-A49",365,756927,48.2,42.7
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2015","2015",,,365,756927,48.2,42.7
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2016","2016","Other bacterial diseases","A30-A49",396,757952,52.2,44.5
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2016","2016",,,396,757952,52.2,44.5
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2017","2017","Other bacterial diseases","A30-A49",366,755393,48.5,39.6
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2017","2017",,,366,755393,48.5,39.6
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38",,,,,2724,5789298,47.1,39.6
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2010","2010","Other bacterial diseases","A30-A49",296,814180,36.4,29.9
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2010","2010",,,296,814180,36.4,29.9
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2011","2011","Other bacterial diseases","A30-A49",317,824082,38.5,32.0
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2011","2011",,,317,824082,38.5,32.0
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2012","2012","Other bacterial diseases","A30-A49",363,833354,43.6,36.2
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2012","2012",,,363,833354,43.6,36.2
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2013","2013","Other bacterial diseases","A30-A49",347,844877,41.1,33.9
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2013","2013",,,347,844877,41.1,33.9
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2014","2014","Other bacterial diseases","A30-A49",460,853175,53.9,44.7
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2014","2014",,,460,853175,53.9,44.7
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2015","2015","Other bacterial diseases","A30-A49",480,858469,55.9,44.5
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2015","2015",,,480,858469,55.9,44.5
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2016","2016","Other bacterial diseases","A30-A49",502,865454,58.0,46.7
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2016","2016",,,502,865454,58.0,46.7
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2017","2017","Other bacterial diseases","A30-A49",515,869666,59.2,48.1
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2017","2017",,,515,869666,59.2,48.1
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46",,,,,3280,6763257,48.5,39.6
"Total","Census Region 2: Midwest","CENS-R2",,,,,,,294989,540723314,54.6,46.3
,"Census Region 3: South","CENS-R3","Delaware","10","2010","2010","Other bacterial diseases","A30-A49",504,897934,56.1,49.6
"Total","Census Region 3: South","CENS-R3","Delaware","10","2010","2010",,,504,897934,56.1,49.6
,"Census Region 3: South","CENS-R3","Delaware","10","2011","2011","Other bacterial diseases","A30-A49",442,907135,48.7,42.4
"Total","Census Region 3: South","CENS-R3","Delaware","10","2011","2011",,,442,907135,48.7,42.4
,"Census Region 3: South","CENS-R3","Delaware","10","2012","2012","Other bacterial diseases","A30-A49",481,917092,52.4,44.0
"Total","Census Region 3: South","CENS-R3","Delaware","10","2012","2012",,,481,917092,52.4,44.0
,"Census Region 3: South","CENS-R3","Delaware","10","2013","2013","Other bacterial diseases","A30-A49",582,925749,62.9,52.5
"Total","Census Region 3: South","CENS-R3","Delaware","10","2013","2013",,,582,925749,62.9,52.5
,"Census Region 3: South","CENS-R3","Delaware","10","2014","2014","Other bacterial diseases","A30-A49",617,935614,65.9,54.1
"Total","Census Region 3: South","CENS-R3","Delaware","10","2014","2014",,,617,935614,65.9,54.1
,"Census Region 3: South","CENS-R3","Delaware","10","2015","2015","Other bacterial diseases","A30-A49",687,945934,72.6,58.0
"Total","Census Region 3: South","CENS-R3","Delaware","10","2015","2015",,,687,945934,72.6,58.0
,"Census Region 3: South","CENS-R3","Delaware","10","2016","2016","Other bacterial diseases","A30-A49",659,952065,69.2,54.5
"Total","Census Region 3: South","CENS-R3","Delaware","10","2016","2016",,,659,952065,69.2,54.5
,"Census Region 3: South","CENS-R3","Delaware","10","2017","2017","Other bacterial diseases","A30-A49",621,961939,64.6,48.5
"Total","Census Region 3: South","CENS-R3","Delaware","10","2017","2017",,,621,961939,64.6,48.5
"Total","Census Region 3: South","CENS-R3","Delaware","10",,,,,4593,7443462,61.7,50.6
,"Census Region 3: South","CENS-R3","District of Columbia","11","2010","2010","Other bacterial diseases","A30-A49",484,601723,80.4,84.4
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2010","2010",,,484,601723,80.4,84.4
,"Census Region 3: South","CENS-R3","District of Columbia","11","2011","2011","Other bacterial diseases","A30-A49",430,617996,69.6,73.1
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2011","2011",,,430,617996,69.6,73.1
,"Census Region 3: South","CENS-R3","District of Columbia","11","2012","2012","Other bacterial diseases","A30-A49",429,632323,67.8,70.3
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2012","2012",,,429,632323,67.8,70.3
,"Census Region 3: South","CENS-R3","District of Columbia","11","2013","2013","Other bacterial diseases","A30-A49",368,646449,56.9,60.1
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2013","2013",,,368,646449,56.9,60.1
,"Census Region 3: South","CENS-R3","District of Columbia","11","2014","2014","Other bacterial diseases","A30-A49",375,658893,56.9,61.1
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2014","2014",,,375,658893,56.9,61.1
,"Census Region 3: South","CENS-R3","District of Columbia","11","2015","2015","Other bacterial diseases","A30-A49",434,672228,64.6,68.0
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2015","2015",,,434,672228,64.6,68.0
,"Census Region 3: South","CENS-R3","District of Columbia","11","2016","2016","Other bacterial diseases","A30-A49",413,681170,60.6,64.2
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2016","2016",,,413,681170,60.6,64.2
,"Census Region 3: South","CENS-R3","District of Columbia","11","2017","2017","Other bacterial diseases","A30-A49",426,693972,61.4,63.0
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2017","2017",,,426,693972,61.4,63.0
"Total","Census Region 3: South","CENS-R3","District of Columbia","11",,,,,3359,5204754,64.5,67.8
,"Census Region 3: South","CENS-R3","Florida","12","2010","2010","Other bacterial diseases","A30-A49",9034,18801310,48.0,36.1
"Total","Census Region 3: South","CENS-R3","Florida","12","2010","2010",,,9034,18801310,48.0,36.1
,"Census Region 3: South","CENS-R3","Florida","12","2011","2011","Other bacterial diseases","A30-A49",9507,19057542,49.9,36.8
"Total","Census Region 3: South","CENS-R3","Florida","12","2011","2011",,,9507,19057542,49.9,36.8
,"Census Region 3: South","CENS-R3","Florida","12","2012","2012","Other bacterial diseases","A30-A49",9622,19317568,49.8,36.1
"Total","Census Region 3: South","CENS-R3","Florida","12","2012","2012",,,9622,19317568,49.8,36.1
,"Census Region 3: South","CENS-R3","Florida","12","2013","2013","Other bacterial diseases","A30-A49",10356,19552860,53.0,37.8
"Total","Census Region 3: South","CENS-R3","Florida","12","2013","2013",,,10356,19552860,53.0,37.8
,"Census Region 3: South","CENS-R3","Florida","12","2014","2014","Other bacterial diseases","A30-A49",10774,19893297,54.2,38.3
"Total","Census Region 3: South","CENS-R3","Florida","12","2014","2014",,,10774,19893297,54.2,38.3
,"Census Region 3: South","CENS-R3","Florida","12","2015","2015","Other bacterial diseases","A30-A49",11735,20271272,57.9,40.4
"Total","Census Region 3: South","CENS-R3","Florida","12","2015","2015",,,11735,20271272,57.9,40.4
,"Census Region 3: South","CENS-R3","Florida","12","2016","2016","Other bacterial diseases","A30-A49",12472,20612439,60.5,41.7
"Total","Census Region 3: South","CENS-R3","Florida","12","2016","2016",,,12472,20612439,60.5,41.7
,"Census Region 3: South","CENS-R3","Florida","12","2017","2017","Other bacterial diseases","A30-A49",13351,20984400,63.6,43.5
"Total","Census Region 3: South","CENS-R3","Florida","12","2017","2017",,,13351,20984400,63.6,43.5
"Total","Census Region 3: South","CENS-R3","Florida","12",,,,,86851,158490688,54.8,39.0
,"Census Region 3: South","CENS-R3","Georgia","13","2010","2010","Other bacterial diseases","A30-A49",5104,9687653,52.7,60.4
"Total","Census Region 3: South","CENS-R3","Georgia","13","2010","2010",,,5104,9687653,52.7,60.4
,"Census Region 3: South","CENS-R3","Georgia","13","2011","2011","Other bacterial diseases","A30-A49",5016,9815210,51.1,57.2
"Total","Census Region 3: South","CENS-R3","Georgia","13","2011","2011",,,5016,9815210,51.1,57.2
,"Census Region 3: South","CENS-R3","Georgia","13","2012","2012","Other bacterial diseases","A30-A49",5255,9919945,53.0,57.7
"Total","Census Region 3: South","CENS-R3","Georgia","13","2012","2012",,,5255,9919945,53.0,57.7
,"Census Region 3: South","CENS-R3","Georgia","13","2013","2013","Other bacterial diseases","A30-A49",5460,9992167,54.6,58.0
"Total","Census Region 3: South","CENS-R3","Georgia","13","2013","2013",,,5460,9992167,54.6,58.0
,"Census Region 3: South","CENS-R3","Georgia","13","2014","2014","Other bacterial diseases","A30-A49",5557,10097343,55.0,56.8
"Total","Census Region 3: South","CENS-R3","Georgia","13","2014","2014",,,5557,10097343,55.0,56.8
,"Census Region 3: South","CENS-R3","Georgia","13","2015","2015","Other bacterial diseases","A30-A49",6012,10214860,58.9,59.8
"Total","Census Region 3: South","CENS-R3","Georgia","13","2015","2015",,,6012,10214860,58.9,59.8
,"Census Region 3: South","CENS-R3","Georgia","13","2016","2016","Other bacterial diseases","A30-A49",6198,10310371,60.1,59.7
"Total","Census Region 3: South","CENS-R3","Georgia","13","2016","2016",,,6198,10310371,60.1,59.7
,"Census Region 3: South","CENS-R3","Georgia","13","2017","2017","Other bacterial diseases","A30-A49",6381,10429379,61.2,59.7
"Total","Census Region 3: South","CENS-R3","Georgia","13","2017","2017",,,6381,10429379,61.2,59.7
"Total","Census Region 3: South","CENS-R3","Georgia","13",,,,,44983,80466928,55.9,58.6
,"Census Region 3: South","CENS-R3","Maryland","24","2010","2010","Other bacterial diseases","A30-A49",3300,5773552,57.2,55.5
"Total","Census Region 3: South","CENS-R3","Maryland","24","2010","2010",,,3300,5773552,57.2,55.5
,"Census Region 3: South","CENS-R3","Maryland","24","2011","2011","Other bacterial diseases","A30-A49",3147,5828289,54.0,51.4
"Total","Census Region 3: South","CENS-R3","Maryland","24","2011","2011",,,3147,5828289,54.0,51.4
,"Census Region 3: South","CENS-R3","Maryland","24","2012","2012","Other bacterial diseases","A30-A49",3219,5884563,54.7,51.1
"Total","Census Region 3: South","CENS-R3","Maryland","24","2012","2012",,,3219,5884563,54.7,51.1
,"Census Region 3: South","CENS-R3","Maryland","24","2013","2013","Other bacterial diseases","A30-A49",3243,5928814,54.7,50.4
"Total","Census Region 3: South","CENS-R3","Maryland","24","2013","2013",,,3243,5928814,54.7,50.4
,"Census Region 3: South","CENS-R3","Maryland","24","2014","2014","Other bacterial diseases","A30-A49",3253,5976407,54.4,49.3
"Total","Census Region 3: South","CENS-R3","Maryland","24","2014","2014",,,3253,5976407,54.4,49.3
,"Census Region 3: South","CENS-R3","Maryland","24","2015","2015","Other bacterial diseases","A30-A49",3187,6006401,53.1,47.1
"Total","Census Region 3: South","CENS-R3","Maryland","24","2015","2015",,,3187,6006401,53.1,47.1
,"Census Region 3: South","CENS-R3","Maryland","24","2016","2016","Other bacterial diseases","A30-A49",3305,6016447,54.9,48.1
"Total","Census Region 3: South","CENS-R3","Maryland","24","2016","2016",,,3305,6016447,54.9,48.1
,"Census Region 3: South","CENS-R3","Maryland","24","2017","2017","Other bacterial diseases","A30-A49",3341,6052177,55.2,47.3
"Total","Census Region 3: South","CENS-R3","Maryland","24","2017","2017",,,3341,6052177,55.2,47.3
"Total","Census Region 3: South","CENS-R3","Maryland","24",,,,,25995,47466650,54.8,49.9
,"Census Region 3: South","CENS-R3","North Carolina","37","2010","2010","Other bacterial diseases","A30-A49",5450,9535483,57.2,55.5
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2010","2010",,,5450,9535483,57.2,55.5
,"Census Region 3: South","CENS-R3","North Carolina","37","2011","2011","Other bacterial diseases","A30-A49",5661,9656401,58.6,55.7
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2011","2011",,,5661,9656401,58.6,55.7
,"Census Region 3: South","CENS-R3","North Carolina","37","2012","2012","Other bacterial diseases","A30-A49",5797,9752073,59.4,55.2
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2012","2012",,,5797,9752073,59.4,55.2
,"Census Region 3: South","CENS-R3","North Carolina","37","2013","2013","Other bacterial diseases","A30-A49",6033,9848060,61.3,55.7
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2013","2013",,,6033,9848060,61.3,55.7
,"Census Region 3: South","CENS-R3","North Carolina","37","2014","2014","Other bacterial diseases","A30-A49",6385,9943964,64.2,57.3
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2014","2014",,,6385,9943964,64.2,57.3
,"Census Region 3: South","CENS-R3","North Carolina","37","2015","2015","Other bacterial diseases","A30-A49",6976,10042802,69.5,61.0
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2015","2015",,,6976,10042802,69.5,61.0
,"Census Region 3: South","CENS-R3","North Carolina","37","2016","2016","Other bacterial diseases","A30-A49",7015,10146788,69.1,59.7
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2016","2016",,,7015,10146788,69.1,59.7
,"Census Region 3: South","CENS-R3","North Carolina","37","2017","2017","Other bacterial diseases","A30-A49",7032,10273419,68.4,58.1
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2017","2017",,,7032,10273419,68.4,58.1
"Total","Census Region 3: South","CENS-R3","North Carolina","37",,,,,50349,79198990,63.6,57.4
,"Census Region 3: South","CENS-R3","South Carolina","45","2010","2010","Other bacterial diseases","A30-A49",2959,4625364,64.0,60.1
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2010","2010",,,2959,4625364,64.0,60.1
,"Census Region 3: South","CENS-R3","South Carolina","45","2011","2011","Other bacterial diseases","A30-A49",3057,4679230,65.3,60.4
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2011","2011",,,3057,4679230,65.3,60.4
,"Census Region 3: South","CENS-R3","South Carolina","45","2012","2012","Other bacterial diseases","A30-A49",3023,4723723,64.0,57.7
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2012","2012",,,3023,4723723,64.0,57.7
,"Census Region 3: South","CENS-R3","South Carolina","45","2013","2013","Other bacterial diseases","A30-A49",3136,4774839,65.7,58.0
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2013","2013",,,3136,4774839,65.7,58.0
,"Census Region 3: South","CENS-R3","South Carolina","45","2014","2014","Other bacterial diseases","A30-A49",3502,4832482,72.5,62.7
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2014","2014",,,3502,4832482,72.5,62.7
,"Census Region 3: South","CENS-R3","South Carolina","45","2015","2015","Other bacterial diseases","A30-A49",3913,4896146,79.9,68.0
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2015","2015",,,3913,4896146,79.9,68.0
