"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010",,,527,1316470,40.0,36.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011","Other bacterial diseases","A30-A49",558,1318194,42.3,36.4
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011",,,558,1318194,42.3,36.4
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012","Other bacterial diseases","A30-A49",541,1320718,41.0,34.3
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012",,,541,1320718,41.0,34.3
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013","Other bacterial diseases","A30-A49",567,1323459,42.8,35.0
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013",,,567,1323459,42.8,35.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014","Other bacterial diseases","A30-A49",647,1326813,48.8,38.9
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014",,,647,1326813,48.8,38.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015","Other bacterial diseases","A30-A49",634,1330608,47.6,37.6
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015",,,634,1330608,47.6,37.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016","Other bacterial diseases","A30-A49",684,1334795,51.2,39.5
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016",,,684,1334795,51.2,39.5
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2017","2017","Other bacterial diseases","A30-A49",693,1342795,51.6,38.7
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2017","2017",,,693,1342795,51.6,38.7
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33",,,,,4851,10613852,45.7,37.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2010","2010","Other bacterial diseases","A30-A49",727,1052567,69.1,55.3
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2010","2010",,,727,1052567,69.1,55.3
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2011","2011","Other bacterial diseases","A30-A49",798,1051302,75.9,59.9
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2011","2011",,,798,1051302,75.9,59.9
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2012","2012","Other bacterial diseases","A30-A49",640,1050292,60.9,47.1
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2012","2012",,,640,1050292,60.9,47.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2013","2013","Other bacterial diseases","A30-A49",673,1051511,64.0,49.5
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2013","2013",,,673,1051511,64.0,49.5
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2014","2014","Other bacterial diseases","A30-A49",665,1055173,63.0,48.7
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2014","2014",,,665,1055173,63.0,48.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2015","2015","Other bacterial diseases","A30-A49",676,1056298,64.0,49.0
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2015","2015",,,676,1056298,64.0,49.0
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2016","2016","Other bacterial diseases","A30-A49",614,1056426,58.1,44.0
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2016","2016",,,614,1056426,58.1,44.0
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2017","2017","Other bacterial diseases","A30-A49",652,1059639,61.5,46.0
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2017","2017",,,652,1059639,61.5,46.0
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44",,,,,5445,8433208,64.6,49.8
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2010","2010","Other bacterial diseases","A30-A49",254,625741,40.6,34.0
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2010","2010",,,254,625741,40.6,34.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2011","2011","Other bacterial diseases","A30-A49",267,626431,42.6,35.1
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2011","2011",,,267,626431,42.6,35.1
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2012","2012","Other bacterial diseases","A30-A49",266,626011,42.5,34.3
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2012","2012",,,266,626011,42.5,34.3
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2013","2013","Other bacterial diseases","A30-A49",283,626630,45.2,35.2
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2013","2013",,,283,626630,45.2,35.2
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2014","2014","Other bacterial diseases","A30-A49",246,626562,39.3,30.3
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2014","2014",,,246,626562,39.3,30.3
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2015","2015","Other bacterial diseases","A30-A49",299,626042,47.8,35.3
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2015","2015",,,299,626042,47.8,35.3
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2016","2016","Other bacterial diseases","A30-A49",285,624594,45.6,33.4
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2016","2016",,,285,624594,45.6,33.4
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2017","2017","Other bacterial diseases","A30-A49",264,623657,42.3,30.2
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2017","2017",,,264,623657,42.3,30.2
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50",,,,,2164,5005668,43.2,33.5
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2010","2010","Other bacterial diseases","A30-A49",6299,8791894,71.6,63.0
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2010","2010",,,6299,8791894,71.6,63.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2011","2011","Other bacterial diseases","A30-A49",6349,8821155,72.0,62.2
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2011","2011",,,6349,8821155,72.0,62.2
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2012","2012","Other bacterial diseases","A30-A49",6228,8864590,70.3,60.1
