"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2015","2015","Renal failure","N17-N19",334,6794422,4.9,4.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2016","2016","Other bacterial diseases","A30-A49",339,6811779,5.0,4.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2016","2016","Renal failure","N17-N19",341,6811779,5.0,4.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2017","2017","Other bacterial diseases","A30-A49",306,6859819,4.5,3.5
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2017","2017","Renal failure","N17-N19",307,6859819,4.5,3.5
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010","Other bacterial diseases","A30-A49",62,1316470,4.7,4.3
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010","Renal failure","N17-N19",64,1316470,4.9,4.4
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011","Other bacterial diseases","A30-A49",63,1318194,4.8,4.1
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011","Renal failure","N17-N19",63,1318194,4.8,4.1
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012","Other bacterial diseases","A30-A49",59,1320718,4.5,3.8
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012","Renal failure","N17-N19",59,1320718,4.5,3.8
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013","Other bacterial diseases","A30-A49",61,1323459,4.6,3.8
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013","Renal failure","N17-N19",61,1323459,4.6,3.8
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014","Other bacterial diseases","A30-A49",61,1326813,4.6,3.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014","Renal failure","N17-N19",61,1326813,4.6,3.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015","Other bacterial diseases","A30-A49",67,1330608,5.0,3.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015","Renal failure","N17-N19",67,1330608,5.0,3.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016","Other bacterial diseases","A30-A49",62,1334795,4.6,3.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016","Renal failure","N17-N19",63,1334795,4.7,3.7
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2017","2017","Other bacterial diseases","A30-A49",57,1342795,4.2,3.2
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2017","2017","Renal failure","N17-N19",58,1342795,4.3,3.2
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2010","2010","Other bacterial diseases","A30-A49",75,1052567,7.1,5.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2010","2010","Renal failure","N17-N19",75,1052567,7.1,5.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2011","2011","Other bacterial diseases","A30-A49",85,1051302,8.1,6.2
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2011","2011","Renal failure","N17-N19",86,1051302,8.2,6.3
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2012","2012","Other bacterial diseases","A30-A49",86,1050292,8.2,6.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2012","2012","Renal failure","N17-N19",88,1050292,8.4,6.2
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2013","2013","Other bacterial diseases","A30-A49",73,1051511,6.9,5.2
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2013","2013","Renal failure","N17-N19",74,1051511,7.0,5.3
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2014","2014","Other bacterial diseases","A30-A49",51,1055173,4.8,3.5
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2014","2014","Renal failure","N17-N19",51,1055173,4.8,3.5
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2015","2015","Other bacterial diseases","A30-A49",51,1056298,4.8,3.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2015","2015","Renal failure","N17-N19",53,1056298,5.0,3.8
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2016","2016","Other bacterial diseases","A30-A49",50,1056426,4.7,3.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2016","2016","Renal failure","N17-N19",51,1056426,4.8,3.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2017","2017","Other bacterial diseases","A30-A49",54,1059639,5.1,4.0
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2017","2017","Renal failure","N17-N19",54,1059639,5.1,4.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2010","2010","Other bacterial diseases","A30-A49",18,625741,Unreliable,Unreliable
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2010","2010","Renal failure","N17-N19",19,625741,Unreliable,Unreliable
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2011","2011","Other bacterial diseases","A30-A49",20,626431,3.2,2.6
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2011","2011","Renal failure","N17-N19",20,626431,3.2,2.6
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2012","2012","Other bacterial diseases","A30-A49",25,626011,4.0,3.1
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2012","2012","Renal failure","N17-N19",25,626011,4.0,3.1
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2013","2013","Other bacterial diseases","A30-A49",26,626630,4.1,3.3
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2013","2013","Renal failure","N17-N19",27,626630,4.3,3.4
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2014","2014","Other bacterial diseases","A30-A49",22,626562,3.5,2.6
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2014","2014","Renal failure","N17-N19",24,626562,3.8,2.9
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2015","2015","Other bacterial diseases","A30-A49",25,626042,4.0,2.9
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2015","2015","Renal failure","N17-N19",25,626042,4.0,2.9
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2016","2016","Other bacterial diseases","A30-A49",24,624594,3.8,2.9
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2016","2016","Renal failure","N17-N19",24,624594,3.8,2.9
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2017","2017","Other bacterial diseases","A30-A49",15,623657,Unreliable,Unreliable
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2017","2017","Renal failure","N17-N19",15,623657,Unreliable,Unreliable
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2010","2010","Other bacterial diseases","A30-A49",527,8791894,6.0,5.2
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2010","2010","Renal failure","N17-N19",528,8791894,6.0,5.3
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2011","2011","Other bacterial diseases","A30-A49",515,8821155,5.8,5.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2011","2011","Renal failure","N17-N19",518,8821155,5.9,5.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2012","2012","Other bacterial diseases","A30-A49",478,8864590,5.4,4.6
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2012","2012","Renal failure","N17-N19",479,8864590,5.4,4.6
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2013","2013","Other bacterial diseases","A30-A49",534,8899339,6.0,5.1
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2013","2013","Renal failure","N17-N19",534,8899339,6.0,5.1
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2014","2014","Other bacterial diseases","A30-A49",506,8938175,5.7,4.7
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2014","2014","Renal failure","N17-N19",507,8938175,5.7,4.7
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2015","2015","Other bacterial diseases","A30-A49",483,8958013,5.4,4.5
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2015","2015","Renal failure","N17-N19",485,8958013,5.4,4.5
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2016","2016","Other bacterial diseases","A30-A49",501,8944469,5.6,4.6
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2016","2016","Renal failure","N17-N19",504,8944469,5.6,4.6
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2017","2017","Other bacterial diseases","A30-A49",494,9005644,5.5,4.4
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2017","2017","Renal failure","N17-N19",495,9005644,5.5,4.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2010","2010","Other bacterial diseases","A30-A49",666,19378102,3.4,3.0
