"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
"Total","Census Region 2: Midwest","CENS-R2","Wisconsin","55",,,,,9445,45970956,20.5,16.8
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2010","2010","Renal failure","N17-N19",580,3046355,19.0,14.9
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2010","2010",,,580,3046355,19.0,14.9
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2011","2011","Renal failure","N17-N19",646,3062309,21.1,16.3
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2011","2011",,,646,3062309,21.1,16.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2012","2012","Renal failure","N17-N19",660,3074186,21.5,16.5
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2012","2012",,,660,3074186,21.5,16.5
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2013","2013","Renal failure","N17-N19",687,3090416,22.2,16.7
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2013","2013",,,687,3090416,22.2,16.7
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2014","2014","Renal failure","N17-N19",698,3107126,22.5,16.9
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2014","2014",,,698,3107126,22.5,16.9
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2015","2015","Renal failure","N17-N19",640,3123899,20.5,15.3
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2015","2015",,,640,3123899,20.5,15.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2016","2016","Renal failure","N17-N19",704,3134693,22.5,16.8
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2016","2016",,,704,3134693,22.5,16.8
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2017","2017","Renal failure","N17-N19",765,3145711,24.3,18.5
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19","2017","2017",,,765,3145711,24.3,18.5
"Total","Census Region 2: Midwest","CENS-R2","Iowa","19",,,,,5380,24784695,21.7,16.5
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2010","2010","Renal failure","N17-N19",574,2853118,20.1,17.7
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2010","2010",,,574,2853118,20.1,17.7
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2011","2011","Renal failure","N17-N19",589,2871238,20.5,17.7
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2011","2011",,,589,2871238,20.5,17.7
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2012","2012","Renal failure","N17-N19",564,2885905,19.5,16.8
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2012","2012",,,564,2885905,19.5,16.8
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2013","2013","Renal failure","N17-N19",624,2893957,21.6,18.2
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2013","2013",,,624,2893957,21.6,18.2
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2014","2014","Renal failure","N17-N19",565,2904021,19.5,16.4
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2014","2014",,,565,2904021,19.5,16.4
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2015","2015","Renal failure","N17-N19",585,2911641,20.1,17.1
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2015","2015",,,585,2911641,20.1,17.1
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2016","2016","Renal failure","N17-N19",634,2907289,21.8,18.0
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2016","2016",,,634,2907289,21.8,18.0
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2017","2017","Renal failure","N17-N19",740,2913123,25.4,20.9
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20","2017","2017",,,740,2913123,25.4,20.9
"Total","Census Region 2: Midwest","CENS-R2","Kansas","20",,,,,4875,23140292,21.1,17.9
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2010","2010","Renal failure","N17-N19",956,5303925,18.0,16.2
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2010","2010",,,956,5303925,18.0,16.2
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2011","2011","Renal failure","N17-N19",1028,5344861,19.2,17.1
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2011","2011",,,1028,5344861,19.2,17.1
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2012","2012","Renal failure","N17-N19",856,5379139,15.9,13.9
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2012","2012",,,856,5379139,15.9,13.9
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2013","2013","Renal failure","N17-N19",823,5420380,15.2,13.0
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2013","2013",,,823,5420380,15.2,13.0
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2014","2014","Renal failure","N17-N19",881,5457173,16.1,13.6
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2014","2014",,,881,5457173,16.1,13.6
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2015","2015","Renal failure","N17-N19",846,5489594,15.4,12.9
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2015","2015",,,846,5489594,15.4,12.9
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2016","2016","Renal failure","N17-N19",860,5519952,15.6,13.0
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2016","2016",,,860,5519952,15.6,13.0
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2017","2017","Renal failure","N17-N19",878,5576606,15.7,12.8
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27","2017","2017",,,878,5576606,15.7,12.8
"Total","Census Region 2: Midwest","CENS-R2","Minnesota","27",,,,,7128,43491630,16.4,14.0
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2010","2010","Renal failure","N17-N19",1492,5988927,24.9,21.9
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2010","2010",,,1492,5988927,24.9,21.9
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2011","2011","Renal failure","N17-N19",1509,6010688,25.1,21.8
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2011","2011",,,1509,6010688,25.1,21.8
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2012","2012","Renal failure","N17-N19",1440,6021988,23.9,20.4
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2012","2012",,,1440,6021988,23.9,20.4
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2013","2013","Renal failure","N17-N19",1479,6044171,24.5,20.7
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2013","2013",,,1479,6044171,24.5,20.7
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2014","2014","Renal failure","N17-N19",1602,6063589,26.4,21.9
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2014","2014",,,1602,6063589,26.4,21.9
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2015","2015","Renal failure","N17-N19",1648,6083672,27.1,22.2
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2015","2015",,,1648,6083672,27.1,22.2
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2016","2016","Renal failure","N17-N19",1627,6093000,26.7,21.4
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2016","2016",,,1627,6093000,26.7,21.4
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2017","2017","Renal failure","N17-N19",1719,6113532,28.1,22.2
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29","2017","2017",,,1719,6113532,28.1,22.2
"Total","Census Region 2: Midwest","CENS-R2","Missouri","29",,,,,12516,48419567,25.8,21.6
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2010","2010","Renal failure","N17-N19",403,1826341,22.1,19.2
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2010","2010",,,403,1826341,22.1,19.2
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2011","2011","Renal failure","N17-N19",374,1842641,20.3,17.4
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2011","2011",,,374,1842641,20.3,17.4
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2012","2012","Renal failure","N17-N19",351,1855525,18.9,15.9
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2012","2012",,,351,1855525,18.9,15.9
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2013","2013","Renal failure","N17-N19",386,1868516,20.7,17.6
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2013","2013",,,386,1868516,20.7,17.6
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2014","2014","Renal failure","N17-N19",382,1881503,20.3,17.1
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2014","2014",,,382,1881503,20.3,17.1
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2015","2015","Renal failure","N17-N19",444,1896190,23.4,19.8
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2015","2015",,,444,1896190,23.4,19.8
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2016","2016","Renal failure","N17-N19",416,1907116,21.8,17.8
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2016","2016",,,416,1907116,21.8,17.8
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2017","2017","Renal failure","N17-N19",433,1920076,22.6,18.1
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31","2017","2017",,,433,1920076,22.6,18.1
"Total","Census Region 2: Midwest","CENS-R2","Nebraska","31",,,,,3189,14997908,21.3,17.8
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2010","2010","Renal failure","N17-N19",220,672591,32.7,25.3
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2010","2010",,,220,672591,32.7,25.3
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2011","2011","Renal failure","N17-N19",231,683932,33.8,26.4
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2011","2011",,,231,683932,33.8,26.4
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2012","2012","Renal failure","N17-N19",218,699628,31.2,24.9
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2012","2012",,,218,699628,31.2,24.9
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2013","2013","Renal failure","N17-N19",231,723393,31.9,26.3
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2013","2013",,,231,723393,31.9,26.3
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2014","2014","Renal failure","N17-N19",180,739482,24.3,20.1
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2014","2014",,,180,739482,24.3,20.1
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2015","2015","Renal failure","N17-N19",187,756927,24.7,20.6
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2015","2015",,,187,756927,24.7,20.6
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2016","2016","Renal failure","N17-N19",210,757952,27.7,23.4
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2016","2016",,,210,757952,27.7,23.4
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2017","2017","Renal failure","N17-N19",160,755393,21.2,17.8
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38","2017","2017",,,160,755393,21.2,17.8
"Total","Census Region 2: Midwest","CENS-R2","North Dakota","38",,,,,1637,5789298,28.3,23.0
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2010","2010","Renal failure","N17-N19",169,814180,20.8,16.2
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2010","2010",,,169,814180,20.8,16.2
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2011","2011","Renal failure","N17-N19",167,824082,20.3,16.0
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2011","2011",,,167,824082,20.3,16.0
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2012","2012","Renal failure","N17-N19",159,833354,19.1,15.2
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2012","2012",,,159,833354,19.1,15.2
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2013","2013","Renal failure","N17-N19",184,844877,21.8,17.4
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2013","2013",,,184,844877,21.8,17.4
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2014","2014","Renal failure","N17-N19",216,853175,25.3,20.3
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2014","2014",,,216,853175,25.3,20.3
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2015","2015","Renal failure","N17-N19",184,858469,21.4,16.7
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2015","2015",,,184,858469,21.4,16.7
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2016","2016","Renal failure","N17-N19",205,865454,23.7,18.3
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2016","2016",,,205,865454,23.7,18.3
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2017","2017","Renal failure","N17-N19",223,869666,25.6,20.9
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2017","2017",,,223,869666,25.6,20.9
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46",,,,,1507,6763257,22.3,17.6
"Total","Census Region 2: Midwest","CENS-R2",,,,,,,114409,540723314,21.2,17.8
,"Census Region 3: South","CENS-R3","Delaware","10","2010","2010","Renal failure","N17-N19",223,897934,24.8,22.1
"Total","Census Region 3: South","CENS-R3","Delaware","10","2010","2010",,,223,897934,24.8,22.1
,"Census Region 3: South","CENS-R3","Delaware","10","2011","2011","Renal failure","N17-N19",223,907135,24.6,21.4
"Total","Census Region 3: South","CENS-R3","Delaware","10","2011","2011",,,223,907135,24.6,21.4
,"Census Region 3: South","CENS-R3","Delaware","10","2012","2012","Renal failure","N17-N19",216,917092,23.6,19.9
"Total","Census Region 3: South","CENS-R3","Delaware","10","2012","2012",,,216,917092,23.6,19.9
,"Census Region 3: South","CENS-R3","Delaware","10","2013","2013","Renal failure","N17-N19",222,925749,24.0,19.8
"Total","Census Region 3: South","CENS-R3","Delaware","10","2013","2013",,,222,925749,24.0,19.8
,"Census Region 3: South","CENS-R3","Delaware","10","2014","2014","Renal failure","N17-N19",208,935614,22.2,18.1
"Total","Census Region 3: South","CENS-R3","Delaware","10","2014","2014",,,208,935614,22.2,18.1
,"Census Region 3: South","CENS-R3","Delaware","10","2015","2015","Renal failure","N17-N19",177,945934,18.7,15.0
"Total","Census Region 3: South","CENS-R3","Delaware","10","2015","2015",,,177,945934,18.7,15.0
,"Census Region 3: South","CENS-R3","Delaware","10","2016","2016","Renal failure","N17-N19",216,952065,22.7,17.6
"Total","Census Region 3: South","CENS-R3","Delaware","10","2016","2016",,,216,952065,22.7,17.6
,"Census Region 3: South","CENS-R3","Delaware","10","2017","2017","Renal failure","N17-N19",219,961939,22.8,17.6
"Total","Census Region 3: South","CENS-R3","Delaware","10","2017","2017",,,219,961939,22.8,17.6
"Total","Census Region 3: South","CENS-R3","Delaware","10",,,,,1704,7443462,22.9,18.8
,"Census Region 3: South","CENS-R3","District of Columbia","11","2010","2010","Renal failure","N17-N19",118,601723,19.6,20.5
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2010","2010",,,118,601723,19.6,20.5
,"Census Region 3: South","CENS-R3","District of Columbia","11","2011","2011","Renal failure","N17-N19",106,617996,17.2,17.6
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2011","2011",,,106,617996,17.2,17.6
,"Census Region 3: South","CENS-R3","District of Columbia","11","2012","2012","Renal failure","N17-N19",96,632323,15.2,15.4
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2012","2012",,,96,632323,15.2,15.4
,"Census Region 3: South","CENS-R3","District of Columbia","11","2013","2013","Renal failure","N17-N19",73,646449,11.3,11.8
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2013","2013",,,73,646449,11.3,11.8
,"Census Region 3: South","CENS-R3","District of Columbia","11","2014","2014","Renal failure","N17-N19",68,658893,10.3,10.9
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2014","2014",,,68,658893,10.3,10.9
,"Census Region 3: South","CENS-R3","District of Columbia","11","2015","2015","Renal failure","N17-N19",81,672228,12.0,12.1
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2015","2015",,,81,672228,12.0,12.1
,"Census Region 3: South","CENS-R3","District of Columbia","11","2016","2016","Renal failure","N17-N19",82,681170,12.0,12.6
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2016","2016",,,82,681170,12.0,12.6
,"Census Region 3: South","CENS-R3","District of Columbia","11","2017","2017","Renal failure","N17-N19",63,693972,9.1,9.5
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2017","2017",,,63,693972,9.1,9.5
"Total","Census Region 3: South","CENS-R3","District of Columbia","11",,,,,687,5204754,13.2,13.7
,"Census Region 3: South","CENS-R3","Florida","12","2010","2010","Renal failure","N17-N19",3073,18801310,16.3,12.1
"Total","Census Region 3: South","CENS-R3","Florida","12","2010","2010",,,3073,18801310,16.3,12.1
,"Census Region 3: South","CENS-R3","Florida","12","2011","2011","Renal failure","N17-N19",3045,19057542,16.0,11.5
"Total","Census Region 3: South","CENS-R3","Florida","12","2011","2011",,,3045,19057542,16.0,11.5
,"Census Region 3: South","CENS-R3","Florida","12","2012","2012","Renal failure","N17-N19",3007,19317568,15.6,11.1
"Total","Census Region 3: South","CENS-R3","Florida","12","2012","2012",,,3007,19317568,15.6,11.1
,"Census Region 3: South","CENS-R3","Florida","12","2013","2013","Renal failure","N17-N19",3124,19552860,16.0,11.2
"Total","Census Region 3: South","CENS-R3","Florida","12","2013","2013",,,3124,19552860,16.0,11.2
,"Census Region 3: South","CENS-R3","Florida","12","2014","2014","Renal failure","N17-N19",3086,19893297,15.5,10.8
"Total","Census Region 3: South","CENS-R3","Florida","12","2014","2014",,,3086,19893297,15.5,10.8
,"Census Region 3: South","CENS-R3","Florida","12","2015","2015","Renal failure","N17-N19",3203,20271272,15.8,10.8
"Total","Census Region 3: South","CENS-R3","Florida","12","2015","2015",,,3203,20271272,15.8,10.8
,"Census Region 3: South","CENS-R3","Florida","12","2016","2016","Renal failure","N17-N19",3242,20612439,15.7,10.6
"Total","Census Region 3: South","CENS-R3","Florida","12","2016","2016",,,3242,20612439,15.7,10.6
,"Census Region 3: South","CENS-R3","Florida","12","2017","2017","Renal failure","N17-N19",3332,20984400,15.9,10.8
"Total","Census Region 3: South","CENS-R3","Florida","12","2017","2017",,,3332,20984400,15.9,10.8
"Total","Census Region 3: South","CENS-R3","Florida","12",,,,,25112,158490688,15.8,11.1
,"Census Region 3: South","CENS-R3","Georgia","13","2010","2010","Renal failure","N17-N19",1525,9687653,15.7,18.7
"Total","Census Region 3: South","CENS-R3","Georgia","13","2010","2010",,,1525,9687653,15.7,18.7
,"Census Region 3: South","CENS-R3","Georgia","13","2011","2011","Renal failure","N17-N19",1505,9815210,15.3,17.6
"Total","Census Region 3: South","CENS-R3","Georgia","13","2011","2011",,,1505,9815210,15.3,17.6
,"Census Region 3: South","CENS-R3","Georgia","13","2012","2012","Renal failure","N17-N19",1417,9919945,14.3,15.9
"Total","Census Region 3: South","CENS-R3","Georgia","13","2012","2012",,,1417,9919945,14.3,15.9
,"Census Region 3: South","CENS-R3","Georgia","13","2013","2013","Renal failure","N17-N19",1445,9992167,14.5,15.6
"Total","Census Region 3: South","CENS-R3","Georgia","13","2013","2013",,,1445,9992167,14.5,15.6
,"Census Region 3: South","CENS-R3","Georgia","13","2014","2014","Renal failure","N17-N19",1343,10097343,13.3,14.0
"Total","Census Region 3: South","CENS-R3","Georgia","13","2014","2014",,,1343,10097343,13.3,14.0
,"Census Region 3: South","CENS-R3","Georgia","13","2015","2015","Renal failure","N17-N19",1265,10214860,12.4,12.8
"Total","Census Region 3: South","CENS-R3","Georgia","13","2015","2015",,,1265,10214860,12.4,12.8
,"Census Region 3: South","CENS-R3","Georgia","13","2016","2016","Renal failure","N17-N19",1338,10310371,13.0,13.1
"Total","Census Region 3: South","CENS-R3","Georgia","13","2016","2016",,,1338,10310371,13.0,13.1
,"Census Region 3: South","CENS-R3","Georgia","13","2017","2017","Renal failure","N17-N19",1342,10429379,12.9,12.7
"Total","Census Region 3: South","CENS-R3","Georgia","13","2017","2017",,,1342,10429379,12.9,12.7
"Total","Census Region 3: South","CENS-R3","Georgia","13",,,,,11180,80466928,13.9,14.9
,"Census Region 3: South","CENS-R3","Maryland","24","2010","2010","Renal failure","N17-N19",1192,5773552,20.6,20.1
"Total","Census Region 3: South","CENS-R3","Maryland","24","2010","2010",,,1192,5773552,20.6,20.1
,"Census Region 3: South","CENS-R3","Maryland","24","2011","2011","Renal failure","N17-N19",1061,5828289,18.2,17.3
"Total","Census Region 3: South","CENS-R3","Maryland","24","2011","2011",,,1061,5828289,18.2,17.3
,"Census Region 3: South","CENS-R3","Maryland","24","2012","2012","Renal failure","N17-N19",910,5884563,15.5,14.6
"Total","Census Region 3: South","CENS-R3","Maryland","24","2012","2012",,,910,5884563,15.5,14.6
,"Census Region 3: South","CENS-R3","Maryland","24","2013","2013","Renal failure","N17-N19",966,5928814,16.3,15.0
"Total","Census Region 3: South","CENS-R3","Maryland","24","2013","2013",,,966,5928814,16.3,15.0
,"Census Region 3: South","CENS-R3","Maryland","24","2014","2014","Renal failure","N17-N19",877,5976407,14.7,13.4
"Total","Census Region 3: South","CENS-R3","Maryland","24","2014","2014",,,877,5976407,14.7,13.4
,"Census Region 3: South","CENS-R3","Maryland","24","2015","2015","Renal failure","N17-N19",913,6006401,15.2,13.6
"Total","Census Region 3: South","CENS-R3","Maryland","24","2015","2015",,,913,6006401,15.2,13.6
,"Census Region 3: South","CENS-R3","Maryland","24","2016","2016","Renal failure","N17-N19",860,6016447,14.3,12.5
"Total","Census Region 3: South","CENS-R3","Maryland","24","2016","2016",,,860,6016447,14.3,12.5
,"Census Region 3: South","CENS-R3","Maryland","24","2017","2017","Renal failure","N17-N19",885,6052177,14.6,12.6
"Total","Census Region 3: South","CENS-R3","Maryland","24","2017","2017",,,885,6052177,14.6,12.6
"Total","Census Region 3: South","CENS-R3","Maryland","24",,,,,7664,47466650,16.1,14.8
,"Census Region 3: South","CENS-R3","North Carolina","37","2010","2010","Renal failure","N17-N19",2327,9535483,24.4,23.9
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2010","2010",,,2327,9535483,24.4,23.9
,"Census Region 3: South","CENS-R3","North Carolina","37","2011","2011","Renal failure","N17-N19",2350,9656401,24.3,23.4
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2011","2011",,,2350,9656401,24.3,23.4
,"Census Region 3: South","CENS-R3","North Carolina","37","2012","2012","Renal failure","N17-N19",2460,9752073,25.2,23.6
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2012","2012",,,2460,9752073,25.2,23.6
,"Census Region 3: South","CENS-R3","North Carolina","37","2013","2013","Renal failure","N17-N19",2382,9848060,24.2,22.2
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2013","2013",,,2382,9848060,24.2,22.2
,"Census Region 3: South","CENS-R3","North Carolina","37","2014","2014","Renal failure","N17-N19",2428,9943964,24.4,21.9
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2014","2014",,,2428,9943964,24.4,21.9
,"Census Region 3: South","CENS-R3","North Carolina","37","2015","2015","Renal failure","N17-N19",2238,10042802,22.3,19.7
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2015","2015",,,2238,10042802,22.3,19.7
,"Census Region 3: South","CENS-R3","North Carolina","37","2016","2016","Renal failure","N17-N19",2140,10146788,21.1,18.3
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2016","2016",,,2140,10146788,21.1,18.3
,"Census Region 3: South","CENS-R3","North Carolina","37","2017","2017","Renal failure","N17-N19",2181,10273419,21.2,18.1
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2017","2017",,,2181,10273419,21.2,18.1
"Total","Census Region 3: South","CENS-R3","North Carolina","37",,,,,18506,79198990,23.4,21.3
,"Census Region 3: South","CENS-R3","South Carolina","45","2010","2010","Renal failure","N17-N19",1205,4625364,26.1,24.9
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2010","2010",,,1205,4625364,26.1,24.9
,"Census Region 3: South","CENS-R3","South Carolina","45","2011","2011","Renal failure","N17-N19",1080,4679230,23.1,21.7
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2011","2011",,,1080,4679230,23.1,21.7
,"Census Region 3: South","CENS-R3","South Carolina","45","2012","2012","Renal failure","N17-N19",1136,4723723,24.0,21.8
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2012","2012",,,1136,4723723,24.0,21.8
,"Census Region 3: South","CENS-R3","South Carolina","45","2013","2013","Renal failure","N17-N19",1240,4774839,26.0,23.0
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2013","2013",,,1240,4774839,26.0,23.0
,"Census Region 3: South","CENS-R3","South Carolina","45","2014","2014","Renal failure","N17-N19",1294,4832482,26.8,23.4
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2014","2014",,,1294,4832482,26.8,23.4
,"Census Region 3: South","CENS-R3","South Carolina","45","2015","2015","Renal failure","N17-N19",1357,4896146,27.7,23.8
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2015","2015",,,1357,4896146,27.7,23.8
,"Census Region 3: South","CENS-R3","South Carolina","45","2016","2016","Renal failure","N17-N19",1463,4961119,29.5,24.9
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2016","2016",,,1463,4961119,29.5,24.9
,"Census Region 3: South","CENS-R3","South Carolina","45","2017","2017","Renal failure","N17-N19",1433,5024369,28.5,23.3
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2017","2017",,,1433,5024369,28.5,23.3
"Total","Census Region 3: South","CENS-R3","South Carolina","45",,,,,10208,38517272,26.5,23.4
,"Census Region 3: South","CENS-R3","Virginia","51","2010","2010","Renal failure","N17-N19",1468,8001024,18.3,18.6
"Total","Census Region 3: South","CENS-R3","Virginia","51","2010","2010",,,1468,8001024,18.3,18.6
,"Census Region 3: South","CENS-R3","Virginia","51","2011","2011","Renal failure","N17-N19",1378,8096604,17.0,17.1
"Total","Census Region 3: South","CENS-R3","Virginia","51","2011","2011",,,1378,8096604,17.0,17.1
,"Census Region 3: South","CENS-R3","Virginia","51","2012","2012","Renal failure","N17-N19",1353,8185867,16.5,16.3
"Total","Census Region 3: South","CENS-R3","Virginia","51","2012","2012",,,1353,8185867,16.5,16.3
,"Census Region 3: South","CENS-R3","Virginia","51","2013","2013","Renal failure","N17-N19",1417,8260405,17.2,16.5
"Total","Census Region 3: South","CENS-R3","Virginia","51","2013","2013",,,1417,8260405,17.2,16.5
,"Census Region 3: South","CENS-R3","Virginia","51","2014","2014","Renal failure","N17-N19",1387,8326289,16.7,15.7
"Total","Census Region 3: South","CENS-R3","Virginia","51","2014","2014",,,1387,8326289,16.7,15.7
,"Census Region 3: South","CENS-R3","Virginia","51","2015","2015","Renal failure","N17-N19",1507,8382993,18.0,16.6
"Total","Census Region 3: South","CENS-R3","Virginia","51","2015","2015",,,1507,8382993,18.0,16.6
,"Census Region 3: South","CENS-R3","Virginia","51","2016","2016","Renal failure","N17-N19",1447,8411808,17.2,15.5
"Total","Census Region 3: South","CENS-R3","Virginia","51","2016","2016",,,1447,8411808,17.2,15.5
