"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011",,,265,1318194,20.1,17.4
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012","Renal failure","N17-N19",259,1320718,19.6,16.7
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012",,,259,1320718,19.6,16.7
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013","Renal failure","N17-N19",268,1323459,20.2,16.7
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013",,,268,1323459,20.2,16.7
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014","Renal failure","N17-N19",274,1326813,20.7,16.5
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014",,,274,1326813,20.7,16.5
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015","Renal failure","N17-N19",254,1330608,19.1,15.0
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015",,,254,1330608,19.1,15.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016","Renal failure","N17-N19",213,1334795,16.0,12.3
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016",,,213,1334795,16.0,12.3
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2017","2017","Renal failure","N17-N19",239,1342795,17.8,13.4
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2017","2017",,,239,1342795,17.8,13.4
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33",,,,,2060,10613852,19.4,15.8
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2010","2010","Renal failure","N17-N19",258,1052567,24.5,18.9
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2010","2010",,,258,1052567,24.5,18.9
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2011","2011","Renal failure","N17-N19",285,1051302,27.1,20.4
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2011","2011",,,285,1051302,27.1,20.4
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2012","2012","Renal failure","N17-N19",266,1050292,25.3,18.7
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2012","2012",,,266,1050292,25.3,18.7
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2013","2013","Renal failure","N17-N19",233,1051511,22.2,16.2
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2013","2013",,,233,1051511,22.2,16.2
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2014","2014","Renal failure","N17-N19",203,1055173,19.2,14.4
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2014","2014",,,203,1055173,19.2,14.4
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2015","2015","Renal failure","N17-N19",229,1056298,21.7,15.9
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2015","2015",,,229,1056298,21.7,15.9
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2016","2016","Renal failure","N17-N19",170,1056426,16.1,12.4
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2016","2016",,,170,1056426,16.1,12.4
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2017","2017","Renal failure","N17-N19",208,1059639,19.6,14.1
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44","2017","2017",,,208,1059639,19.6,14.1
"Total","Census Region 1: Northeast","CENS-R1","Rhode Island","44",,,,,1852,8433208,22.0,16.3
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2010","2010","Renal failure","N17-N19",104,625741,16.6,13.6
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2010","2010",,,104,625741,16.6,13.6
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2011","2011","Renal failure","N17-N19",117,626431,18.7,15.0
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2011","2011",,,117,626431,18.7,15.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2012","2012","Renal failure","N17-N19",118,626011,18.8,14.7
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2012","2012",,,118,626011,18.8,14.7
