"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2024 (provisional)","2024","Renal failure","N17-N19",284,1112308,25.5,18.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2025 (provisional and partial)","2025","Renal failure","N17-N19",300,1112308,27.0,19.3
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2026 (provisional and partial)","2026","Renal failure","N17-N19",25,1112308,2.2,1.6
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2018","2018","Renal failure","N17-N19",120,626299,19.2,14.1
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2019","2019","Renal failure","N17-N19",122,623989,19.6,14.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2020","2020","Renal failure","N17-N19",139,623347,22.3,15.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2021","2021","Renal failure","N17-N19",169,645570,26.2,18.4
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2022","2022","Renal failure","N17-N19",187,647064,28.9,19.7
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2023","2023","Renal failure","N17-N19",171,647464,26.4,18.3
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2024 (provisional)","2024","Renal failure","N17-N19",167,648493,25.8,16.8
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2025 (provisional and partial)","2025","Renal failure","N17-N19",165,648493,25.4,16.4
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2026 (provisional and partial)","2026","Renal failure","N17-N19",13,648493,Unreliable,Unreliable
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2018","2018","Renal failure","N17-N19",1657,8908520,18.6,14.5
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2019","2019","Renal failure","N17-N19",1551,8882190,17.5,13.4
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2020","2020","Renal failure","N17-N19",2599,8882371,29.3,22.4
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2021","2021","Renal failure","N17-N19",2889,9267130,31.2,24.8
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2022","2022","Renal failure","N17-N19",3463,9261699,37.4,28.6
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2023","2023","Renal failure","N17-N19",3075,9290841,33.1,25.6
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2024 (provisional)","2024","Renal failure","N17-N19",3108,9500851,32.7,25.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2025 (provisional and partial)","2025","Renal failure","N17-N19",2975,9500851,31.3,23.9
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2026 (provisional and partial)","2026","Renal failure","N17-N19",181,9500851,1.9,1.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2018","2018","Renal failure","N17-N19",2613,19542209,13.4,10.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2019","2019","Renal failure","N17-N19",2461,19453561,12.7,9.5
,"Census Region 1: Northeast","CENS-R1","New York","36","2020","2020","Renal failure","N17-N19",3563,19336776,18.4,13.7
,"Census Region 1: Northeast","CENS-R1","New York","36","2021","2021","Renal failure","N17-N19",3983,19835913,20.1,15.3
,"Census Region 1: Northeast","CENS-R1","New York","36","2022","2022","Renal failure","N17-N19",4284,19677151,21.8,15.9
,"Census Region 1: Northeast","CENS-R1","New York","36","2023","2023","Renal failure","N17-N19",3786,19571216,19.3,14.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2024 (provisional)","2024","Renal failure","N17-N19",3671,19867248,18.5,13.3
,"Census Region 1: Northeast","CENS-R1","New York","36","2025 (provisional and partial)","2025","Renal failure","N17-N19",3839,19867248,19.3,13.9
,"Census Region 1: Northeast","CENS-R1","New York","36","2026 (provisional and partial)","2026","Renal failure","N17-N19",276,19867248,1.4,1.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2018","2018","Renal failure","N17-N19",2730,12807060,21.3,14.9
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2019","2019","Renal failure","N17-N19",2574,12801989,20.1,14.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2020","2020","Renal failure","N17-N19",3344,12783254,26.2,18.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2021","2021","Renal failure","N17-N19",5217,12964056,40.2,29.2
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2022","2022","Renal failure","N17-N19",6241,12972008,48.1,33.5
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2023","2023","Renal failure","N17-N19",5556,12961683,42.9,29.9
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2024 (provisional)","2024","Renal failure","N17-N19",5393,13078751,41.2,28.6
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2025 (provisional and partial)","2025","Renal failure","N17-N19",5410,13078751,41.4,28.4
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2026 (provisional and partial)","2026","Renal failure","N17-N19",267,13078751,2.0,1.4
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2018","2018","Renal failure","N17-N19",1931,12741080,15.2,12.4
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2019","2019","Renal failure","N17-N19",1801,12671821,14.2,11.5
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2020","2020","Renal failure","N17-N19",2172,12587530,17.3,13.7
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2021","2021","Renal failure","N17-N19",2706,12671469,21.4,17.6
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2022","2022","Renal failure","N17-N19",3658,12582032,29.1,23.0
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2023","2023","Renal failure","N17-N19",3131,12549689,24.9,19.6
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2024 (provisional)","2024","Renal failure","N17-N19",2890,12710158,22.7,17.6
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2025 (provisional and partial)","2025","Renal failure","N17-N19",2982,12710158,23.5,18.3
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2026 (provisional and partial)","2026","Renal failure","N17-N19",176,12710158,1.4,1.1
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2018","2018","Renal failure","N17-N19",2050,6691878,30.6,25.7
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2019","2019","Renal failure","N17-N19",2007,6732219,29.8,24.8
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2020","2020","Renal failure","N17-N19",2396,6754953,35.5,29.3
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2021","2021","Renal failure","N17-N19",3207,6805985,47.1,39.9
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2022","2022","Renal failure","N17-N19",3607,6833037,52.8,43.1
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2023","2023","Renal failure","N17-N19",2796,6862199,40.7,33.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2024 (provisional)","2024","Renal failure","N17-N19",2816,6924275,40.7,32.9
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2025 (provisional and partial)","2025","Renal failure","N17-N19",2734,6924275,39.5,31.8
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2026 (provisional and partial)","2026","Renal failure","N17-N19",148,6924275,2.1,1.7
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2018","2018","Renal failure","N17-N19",1591,9995915,15.9,12.4
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2019","2019","Renal failure","N17-N19",1618,9986857,16.2,12.4
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2020","2020","Renal failure","N17-N19",2317,9966555,23.2,17.6
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2021","2021","Renal failure","N17-N19",3499,10050811,34.8,27.4
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2022","2022","Renal failure","N17-N19",3713,10034113,37.0,28.0
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2023","2023","Renal failure","N17-N19",3361,10037261,33.5,25.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2024 (provisional)","2024","Renal failure","N17-N19",3337,10140459,32.9,24.5
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2025 (provisional and partial)","2025","Renal failure","N17-N19",3359,10140459,33.1,24.7
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2026 (provisional and partial)","2026","Renal failure","N17-N19",211,10140459,2.1,1.5
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2018","2018","Renal failure","N17-N19",2019,11689442,17.3,13.3
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2019","2019","Renal failure","N17-N19",1975,11689100,16.9,12.8
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2020","2020","Renal failure","N17-N19",2504,11693217,21.4,16.3
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2021","2021","Renal failure","N17-N19",3705,11780017,31.5,24.9
