"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2022","2022","Other bacterial diseases","A30-A49","Hospice facility","5",1268,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Other bacterial diseases","A30-A49","Nursing home/long term care","6",635,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Other bacterial diseases","A30-A49","Other","7",247,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","Medical Facility - Inpatient","1",36586,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","Medical Facility - Outpatient or ER","2",882,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","Medical Facility - Dead on Arrival","3",13,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","Decedent's home","4",754,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","Hospice facility","5",1289,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","Nursing home/long term care","6",646,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","Other","7",251,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",32499,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",762,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","Medical Facility - Dead on Arrival","3",10,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","Decedent's home","4",678,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","Hospice facility","5",1346,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","Nursing home/long term care","6",651,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","Other","7",227,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","Medical Facility - Inpatient","1",32958,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","Medical Facility - Outpatient or ER","2",769,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","Medical Facility - Dead on Arrival","3",10,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","Decedent's home","4",689,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","Hospice facility","5",1360,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","Nursing home/long term care","6",654,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","Other","7",232,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",31170,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",759,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Other bacterial diseases","A30-A49","Decedent's home","4",763,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Other bacterial diseases","A30-A49","Hospice facility","5",1382,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Other bacterial diseases","A30-A49","Nursing home/long term care","6",620,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Other bacterial diseases","A30-A49","Other","7",180,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Renal failure","N17-N19","Medical Facility - Inpatient","1",31646,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Renal failure","N17-N19","Medical Facility - Outpatient or ER","2",770,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Renal failure","N17-N19","Decedent's home","4",772,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Renal failure","N17-N19","Hospice facility","5",1405,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Renal failure","N17-N19","Nursing home/long term care","6",626,Not Applicable,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Renal failure","N17-N19","Other","7",182,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",30945,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",693,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49","Decedent's home","4",681,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49","Hospice facility","5",1466,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49","Nursing home/long term care","6",636,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49","Other","7",217,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Renal failure","N17-N19","Medical Facility - Inpatient","1",31376,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Renal failure","N17-N19","Medical Facility - Outpatient or ER","2",698,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Renal failure","N17-N19","Decedent's home","4",701,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Renal failure","N17-N19","Hospice facility","5",1481,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Renal failure","N17-N19","Nursing home/long term care","6",647,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Renal failure","N17-N19","Other","7",219,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",2263,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",49,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","Decedent's home","4",53,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","Hospice facility","5",102,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","Nursing home/long term care","6",40,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","Other","7",19,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","Medical Facility - Inpatient","1",2290,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","Medical Facility - Outpatient or ER","2",49,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","Decedent's home","4",54,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","Hospice facility","5",102,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","Nursing home/long term care","6",40,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","Other","7",19,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MCD - ICD-10 Codes: N17.0 (Acute renal failure with tubular necrosis); N17.1 (Acute renal failure with acute cortical necrosis);"
"N17.2 (Acute renal failure with medullary necrosis); N17.8 (Other acute renal failure); N17.9 (Acute renal failure, unspecified)"
"MCD - ICD-10 Codes: AND"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Group By: Year; MCD - ICD Sub-Chapter; Place of Death"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Feb 11, 2026 1:00:52 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2023,"
"and from provisional data for years 2024 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Feb 11, 2026"
"1:00:52 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. These items in the results table are not fully selected: Other bacterial diseases, Renal failure. The Query Description lists"
"the actual values selected."
"3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Unreliable."
"5. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#2000 Standard Population."
"6. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age-Adjusted Rates."
"7. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"8. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Deaths with the underlying cause classified with O00-O99 are"
"subject to further processing before these deaths records are considered final. Provisional deaths have not undergone full"
"processing and review and therefore should not be considered final for statistical purposes. Caution should be used in"
"interpreting these data. More information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"9. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"10. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"11. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"12. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#ICD-10 Changes."
"13. Deaths related to external causes of injury or sudden death: In the provisional mortality data, causes of death classified"
"as external causes of injury (ICD-10 codes V01-Y89), sudden deaths (ICD-10 codes R95 and R96), or drug poisoning (ICD-10 codes"
"T36-T50), have the cause of death labeled as 'Data not shown due to 6 month lag to account for delays in death certificate"
"completion for certain causes of death.' For these deaths occurring 24 weeks prior to the final date in the provisional data,"
"the number of deaths and related statistics are not available by specific cause of death for ICD-10 codes V01-Y89, R95, R96, or"
"T36-T50. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#999."
"14. Deaths occurring through January 31, 2026 as of February 08, 2026."
