"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2018","2018","Renal failure","N17-N19","Medical Facility - Inpatient","1",46230,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Medical Facility - Outpatient or ER","2",1292,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Medical Facility - Dead on Arrival","3",30,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Decedent's home","4",4758,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Hospice facility","5",3650,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Nursing home/long term care","6",6542,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Other","7",781,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Place of death unknown","9",12,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Medical Facility - Inpatient","1",45338,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Medical Facility - Outpatient or ER","2",1350,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Medical Facility - Dead on Arrival","3",22,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Decedent's home","4",4751,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Hospice facility","5",3609,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Nursing home/long term care","6",6036,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Other","7",848,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Renal failure","N17-N19","Medical Facility - Inpatient","1",61474,Not Applicable,Not Applicable,Not Applicable
