"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2018","2018","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",162293,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",6592,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Medical Facility - Dead on Arrival","3",102,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Decedent's home","4",9054,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Hospice facility","5",12904,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Nursing home/long term care","6",13170,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Other","7",1770,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Place of death unknown","9",40,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",158317,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",6759,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Medical Facility - Dead on Arrival","3",81,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Decedent's home","4",9018,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Hospice facility","5",12840,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Nursing home/long term care","6",12106,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Other","7",1942,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Place of death unknown","9",29,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",192234,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",8557,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Medical Facility - Dead on Arrival","3",122,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Decedent's home","4",13000,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Hospice facility","5",13161,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Nursing home/long term care","6",12456,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Other","7",2591,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Place of death unknown","9",34,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",212446,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",9105,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","Medical Facility - Dead on Arrival","3",103,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","Decedent's home","4",12927,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","Hospice facility","5",12843,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","Nursing home/long term care","6",10541,Not Applicable,Not Applicable,Not Applicable
