"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"2018","2018","Renal failure","N17-N19","Female","F",29665,166038755,17.9,17.7,18.1,13.1,13.0,13.3
,"2018","2018","Renal failure","N17-N19","Male","M",33630,161128679,20.9,20.6,21.1,19.7,19.4,19.9
"Total","2018","2018","Renal failure","N17-N19",,,63295,327167434,19.3,19.2,19.5,16.0,15.8,16.1
"Total","2018","2018",,,,,63295,327167434,19.3,19.2,19.5,16.0,15.8,16.1
,"2019","2019","Renal failure","N17-N19","Female","F",28925,166582199,17.4,17.2,17.6,12.6,12.5,12.8
,"2019","2019","Renal failure","N17-N19","Male","M",33037,161657324,20.4,20.2,20.7,18.9,18.7,19.1
"Total","2019","2019","Renal failure","N17-N19",,,61962,328239523,18.9,18.7,19.0,15.3,15.2,15.5
"Total","2019","2019",,,,,61962,328239523,18.9,18.7,19.0,15.3,15.2,15.5
,"2020","2020","Renal failure","N17-N19","Female","F",36704,167227921,21.9,21.7,22.2,15.8,15.7,16.0
,"2020","2020","Renal failure","N17-N19","Male","M",45775,162256202,28.2,28.0,28.5,25.4,25.1,25.6
"Total","2020","2020","Renal failure","N17-N19",,,82479,329484123,25.0,24.9,25.2,20.1,19.9,20.2
"Total","2020","2020",,,,,82479,329484123,25.0,24.9,25.2,20.1,19.9,20.2
,"2021","2021","Renal failure","N17-N19","Female","F",51341,167509003,30.6,30.4,30.9,23.1,22.8,23.3
,"2021","2021","Renal failure","N17-N19","Male","M",67111,164384742,40.8,40.5,41.1,37.4,37.1,37.6
"Total","2021","2021","Renal failure","N17-N19",,,118452,331893745,35.7,35.5,35.9,29.5,29.3,29.6
"Total","2021","2021",,,,,118452,331893745,35.7,35.5,35.9,29.5,29.3,29.6
,"2022","2022","Renal failure","N17-N19","Female","F",58837,168004004,35.0,34.7,35.3,25.1,24.9,25.3
,"2022","2022","Renal failure","N17-N19","Male","M",70790,165283553,42.8,42.5,43.1,38.5,38.2,38.8
"Total","2022","2022","Renal failure","N17-N19",,,129627,333287557,38.9,38.7,39.1,30.9,30.7,31.1
"Total","2022","2022",,,,,129627,333287557,38.9,38.7,39.1,30.9,30.7,31.1
,"2023","2023","Renal failure","N17-N19","Female","F",52880,169165495,31.3,31.0,31.5,22.5,22.3,22.7
,"2023","2023","Renal failure","N17-N19","Male","M",61182,165749400,36.9,36.6,37.2,32.8,32.6,33.1
"Total","2023","2023","Renal failure","N17-N19",,,114062,334914895,34.1,33.9,34.3,27.1,26.9,27.2
"Total","2023","2023",,,,,114062,334914895,34.1,33.9,34.3,27.1,26.9,27.2
,"2024","2024","Renal failure","N17-N19","Female","F",51623,171773106,30.1,29.8,30.3,21.4,21.2,21.6
,"2024","2024","Renal failure","N17-N19","Male","M",59610,168337882,35.4,35.1,35.7,30.9,30.6,31.1
"Total","2024","2024","Renal failure","N17-N19",,,111233,340110988,32.7,32.5,32.9,25.6,25.5,25.8
"Total","2024","2024",,,,,111233,340110988,32.7,32.5,32.9,25.6,25.5,25.8
