"Notes","Year","Year Code","Place of Death","Place of Death Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2015","2015","Decedent's home","4","Other bacterial diseases","A30-A49",299,Not Applicable,Not Applicable,Not Applicable
,"2015","2015","Decedent's home","4","Renal failure","N17-N19",302,Not Applicable,Not Applicable,Not Applicable
,"2015","2015","Hospice facility","5","Other bacterial diseases","A30-A49",584,Not Applicable,Not Applicable,Not Applicable
,"2015","2015","Hospice facility","5","Renal failure","N17-N19",587,Not Applicable,Not Applicable,Not Applicable
,"2015","2015","Nursing home/long term care","6","Other bacterial diseases","A30-A49",589,Not Applicable,Not Applicable,Not Applicable
,"2015","2015","Nursing home/long term care","6","Renal failure","N17-N19",593,Not Applicable,Not Applicable,Not Applicable
,"2015","2015","Other","7","Other bacterial diseases","A30-A49",85,Not Applicable,Not Applicable,Not Applicable
,"2015","2015","Other","7","Renal failure","N17-N19",85,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Medical Facility - Inpatient","1","Other bacterial diseases","A30-A49",15998,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Medical Facility - Inpatient","1","Renal failure","N17-N19",16198,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Medical Facility - Outpatient or ER","2","Other bacterial diseases","A30-A49",332,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Medical Facility - Outpatient or ER","2","Renal failure","N17-N19",336,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Medical Facility - Dead on Arrival","3","Other bacterial diseases","A30-A49",11,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Medical Facility - Dead on Arrival","3","Renal failure","N17-N19",11,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Decedent's home","4","Other bacterial diseases","A30-A49",336,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Decedent's home","4","Renal failure","N17-N19",337,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Hospice facility","5","Other bacterial diseases","A30-A49",563,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Hospice facility","5","Renal failure","N17-N19",569,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Nursing home/long term care","6","Other bacterial diseases","A30-A49",623,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Nursing home/long term care","6","Renal failure","N17-N19",628,Not Applicable,Not Applicable,Not Applicable
