"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2023","2023","Other bacterial diseases","A30-A49","100+ years","100+",1096,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024","2024","Other bacterial diseases","A30-A49","< 1 year","1",331,3615598,9.2,8.2,10.1
,"2024","2024","Other bacterial diseases","A30-A49","1-4 years","1-4",203,14983716,1.4,1.2,1.5
,"2024","2024","Other bacterial diseases","A30-A49","5-9 years","5-9",146,20197672,0.7,0.6,0.8
,"2024","2024","Other bacterial diseases","A30-A49","10-14 years","10-14",162,20901154,0.8,0.7,0.9
,"2024","2024","Other bacterial diseases","A30-A49","15-19 years","15-19",217,22375825,1.0,0.8,1.1
,"2024","2024","Other bacterial diseases","A30-A49","20-24 years","20-24",419,22421936,1.9,1.7,2.0
,"2024","2024","Other bacterial diseases","A30-A49","25-29 years","25-29",746,22459876,3.3,3.1,3.6
,"2024","2024","Other bacterial diseases","A30-A49","30-34 years","30-34",1491,23993988,6.2,5.9,6.5
,"2024","2024","Other bacterial diseases","A30-A49","35-39 years","35-39",2216,23170072,9.6,9.2,10.0
,"2024","2024","Other bacterial diseases","A30-A49","40-44 years","40-44",3390,22369152,15.2,14.6,15.7
,"2024","2024","Other bacterial diseases","A30-A49","45-49 years","45-49",4717,20294049,23.2,22.6,23.9
,"2024","2024","Other bacterial diseases","A30-A49","50-54 years","50-54",7535,20486307,36.8,36.0,37.6
,"2024","2024","Other bacterial diseases","A30-A49","55-59 years","55-59",11722,20359928,57.6,56.5,58.6
,"2024","2024","Other bacterial diseases","A30-A49","60-64 years ","60-64",18961,21301797,89.0,87.7,90.3
,"2024","2024","Other bacterial diseases","A30-A49","65-69 years","65-69",25524,19489471,131.0,129.4,132.6
,"2024","2024","Other bacterial diseases","A30-A49","70-74 years","70-74",29860,15955491,187.1,185.0,189.3
,"2024","2024","Other bacterial diseases","A30-A49","75-79 years","75-79",33293,11993326,277.6,274.6,280.6
,"2024","2024","Other bacterial diseases","A30-A49","80-84 years","80-84",31125,7306487,426.0,421.3,430.7
,"2024","2024","Other bacterial diseases","A30-A49","85-89 years","85-89",25692,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024","2024","Other bacterial diseases","A30-A49","90-94 years","90-94",15992,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024","2024","Other bacterial diseases","A30-A49","95-99 years","95-99",6313,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024","2024","Other bacterial diseases","A30-A49","100+ years","100+",1137,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","< 1 year","1",329,3615598,9.1,8.1,10.1
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","1-4 years","1-4",196,14983716,1.3,1.1,1.5
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","5-9 years","5-9",123,20197672,0.6,0.5,0.7
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","10-14 years","10-14",134,20901154,0.6,0.5,0.7
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","15-19 years","15-19",213,22375825,1.0,0.8,1.1
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","20-24 years","20-24",371,22421936,1.7,1.5,1.8
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","25-29 years","25-29",714,22459876,3.2,2.9,3.4
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","30-34 years","30-34",1309,23993988,5.5,5.2,5.8
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","35-39 years","35-39",2213,23170072,9.6,9.2,9.9
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","40-44 years","40-44",3336,22369152,14.9,14.4,15.4
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","45-49 years","45-49",4622,20294049,22.8,22.1,23.4
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","50-54 years","50-54",7258,20486307,35.4,34.6,36.2
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","55-59 years","55-59",11273,20359928,55.4,54.3,56.4
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","60-64 years ","60-64",18377,21301797,86.3,85.0,87.5
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","65-69 years","65-69",25592,19489471,131.3,129.7,132.9
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","70-74 years","70-74",29932,15955491,187.6,185.5,189.7
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","75-79 years","75-79",34362,11993326,286.5,283.5,289.5
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","80-84 years","80-84",31479,7306487,430.8,426.1,435.6
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","85-89 years","85-89",25520,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","90-94 years","90-94",15981,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","95-99 years","95-99",6264,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional)","2025","Other bacterial diseases","A30-A49","100+ years","100+",1144,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","< 1 year","1",21,3615598,0.6,0.4,0.9
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","1-4 years","1-4",24,14983716,0.2,0.1,0.2
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","5-9 years","5-9",14,20197672,0.1,0.0,0.1
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","10-14 years","10-14",10,20901154,0.0,0.0,0.1
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","15-19 years","15-19",23,22375825,0.1,0.1,0.2
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","20-24 years","20-24",39,22421936,0.2,0.1,0.2
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","25-29 years","25-29",62,22459876,0.3,0.2,0.4
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","30-34 years","30-34",128,23993988,0.5,0.4,0.6
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","35-39 years","35-39",207,23170072,0.9,0.8,1.0
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","40-44 years","40-44",357,22369152,1.6,1.4,1.8
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","45-49 years","45-49",477,20294049,2.4,2.1,2.6
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","50-54 years","50-54",662,20486307,3.2,3.0,3.5
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","55-59 years","55-59",1157,20359928,5.7,5.4,6.0
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","60-64 years ","60-64",1906,21301797,8.9,8.5,9.3
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","65-69 years","65-69",2807,19489471,14.4,13.9,14.9
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","70-74 years","70-74",3413,15955491,21.4,20.7,22.1
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","75-79 years","75-79",4036,11993326,33.7,32.6,34.7
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","80-84 years","80-84",3857,7306487,52.8,51.1,54.5
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","85-89 years","85-89",3291,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","90-94 years","90-94",2054,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","95-99 years","95-99",850,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49","100+ years","100+",156,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
