"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Census Region 3: South","CENS-R3","North Carolina","37","2025 (provisional)","2025","Other bacterial diseases","A30-A49",6530,11046024,59.1,57.7,60.6,47.0,45.8,48.2
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2025 (provisional)","2025",,,6530,11046024,59.1,57.7,60.6,47.0,45.8,48.2
,"Census Region 3: South","CENS-R3","North Carolina","37","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",615,11046024,5.6,5.1,6.0,4.3,4.0,4.7
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2026 (provisional and partial)","2026",,,615,11046024,5.6,5.1,6.0,4.3,4.0,4.7
"Total","Census Region 3: South","CENS-R3","North Carolina","37",,,,,59268,96696225,61.3,60.8,61.8,49.6,49.2,50.0
,"Census Region 3: South","CENS-R3","South Carolina","45","2018","2018","Other bacterial diseases","A30-A49",4181,5084127,82.2,79.7,84.7,66.0,64.0,68.1
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2018","2018",,,4181,5084127,82.2,79.7,84.7,66.0,64.0,68.1
,"Census Region 3: South","CENS-R3","South Carolina","45","2019","2019","Other bacterial diseases","A30-A49",4183,5148714,81.2,78.8,83.7,63.9,61.9,65.9
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2019","2019",,,4183,5148714,81.2,78.8,83.7,63.9,61.9,65.9
,"Census Region 3: South","CENS-R3","South Carolina","45","2020","2020","Other bacterial diseases","A30-A49",5336,5218040,102.3,99.5,105.0,78.3,76.2,80.5
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2020","2020",,,5336,5218040,102.3,99.5,105.0,78.3,76.2,80.5
,"Census Region 3: South","CENS-R3","South Carolina","45","2021","2021","Other bacterial diseases","A30-A49",4983,5190705,96.0,93.3,98.7,76.3,74.1,78.5
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2021","2021",,,4983,5190705,96.0,93.3,98.7,76.3,74.1,78.5
,"Census Region 3: South","CENS-R3","South Carolina","45","2022","2022","Other bacterial diseases","A30-A49",4789,5282634,90.7,88.1,93.2,68.7,66.8,70.8
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2022","2022",,,4789,5282634,90.7,88.1,93.2,68.7,66.8,70.8
,"Census Region 3: South","CENS-R3","South Carolina","45","2023","2023","Other bacterial diseases","A30-A49",4239,5373555,78.9,76.5,81.3,60.0,58.2,61.9
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2023","2023",,,4239,5373555,78.9,76.5,81.3,60.0,58.2,61.9
,"Census Region 3: South","CENS-R3","South Carolina","45","2024","2024","Other bacterial diseases","A30-A49",4214,5478831,76.9,74.6,79.2,57.8,56.0,59.6
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2024","2024",,,4214,5478831,76.9,74.6,79.2,57.8,56.0,59.6
,"Census Region 3: South","CENS-R3","South Carolina","45","2025 (provisional)","2025","Other bacterial diseases","A30-A49",4126,5478831,75.3,73.0,77.6,56.5,54.7,58.3
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2025 (provisional)","2025",,,4126,5478831,75.3,73.0,77.6,56.5,54.7,58.3
,"Census Region 3: South","CENS-R3","South Carolina","45","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",415,5478831,7.6,6.8,8.3,5.7,5.2,6.3
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2026 (provisional and partial)","2026",,,415,5478831,7.6,6.8,8.3,5.7,5.2,6.3
"Total","Census Region 3: South","CENS-R3","South Carolina","45",,,,,36466,47734268,76.4,75.6,77.2,58.7,58.1,59.3
,"Census Region 3: South","CENS-R3","Virginia","51","2018","2018","Other bacterial diseases","A30-A49",5011,8517685,58.8,57.2,60.5,50.5,49.1,51.9
"Total","Census Region 3: South","CENS-R3","Virginia","51","2018","2018",,,5011,8517685,58.8,57.2,60.5,50.5,49.1,51.9
,"Census Region 3: South","CENS-R3","Virginia","51","2019","2019","Other bacterial diseases","A30-A49",4615,8535519,54.1,52.5,55.6,45.4,44.0,46.7
"Total","Census Region 3: South","CENS-R3","Virginia","51","2019","2019",,,4615,8535519,54.1,52.5,55.6,45.4,44.0,46.7
,"Census Region 3: South","CENS-R3","Virginia","51","2020","2020","Other bacterial diseases","A30-A49",4955,8590563,57.7,56.1,59.3,47.6,46.3,49.0
"Total","Census Region 3: South","CENS-R3","Virginia","51","2020","2020",,,4955,8590563,57.7,56.1,59.3,47.6,46.3,49.0
,"Census Region 3: South","CENS-R3","Virginia","51","2021","2021","Other bacterial diseases","A30-A49",5643,8642274,65.3,63.6,67.0,55.1,53.6,56.5
"Total","Census Region 3: South","CENS-R3","Virginia","51","2021","2021",,,5643,8642274,65.3,63.6,67.0,55.1,53.6,56.5
,"Census Region 3: South","CENS-R3","Virginia","51","2022","2022","Other bacterial diseases","A30-A49",5489,8683619,63.2,61.5,64.9,51.1,49.8,52.5
"Total","Census Region 3: South","CENS-R3","Virginia","51","2022","2022",,,5489,8683619,63.2,61.5,64.9,51.1,49.8,52.5
,"Census Region 3: South","CENS-R3","Virginia","51","2023","2023","Other bacterial diseases","A30-A49",4930,8715698,56.6,55.0,58.1,45.8,44.5,47.1
"Total","Census Region 3: South","CENS-R3","Virginia","51","2023","2023",,,4930,8715698,56.6,55.0,58.1,45.8,44.5,47.1
,"Census Region 3: South","CENS-R3","Virginia","51","2024","2024","Other bacterial diseases","A30-A49",5003,8811195,56.8,55.2,58.4,44.9,43.6,46.2
"Total","Census Region 3: South","CENS-R3","Virginia","51","2024","2024",,,5003,8811195,56.8,55.2,58.4,44.9,43.6,46.2
,"Census Region 3: South","CENS-R3","Virginia","51","2025 (provisional)","2025","Other bacterial diseases","A30-A49",4818,8811195,54.7,53.1,56.2,43.2,42.0,44.5
"Total","Census Region 3: South","CENS-R3","Virginia","51","2025 (provisional)","2025",,,4818,8811195,54.7,53.1,56.2,43.2,42.0,44.5
,"Census Region 3: South","CENS-R3","Virginia","51","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",514,8811195,5.8,5.3,6.3,4.6,4.2,5.1
"Total","Census Region 3: South","CENS-R3","Virginia","51","2026 (provisional and partial)","2026",,,514,8811195,5.8,5.3,6.3,4.6,4.2,5.1
"Total","Census Region 3: South","CENS-R3","Virginia","51",,,,,40978,78118943,52.5,51.9,53.0,42.8,42.4,43.2
,"Census Region 3: South","CENS-R3","West Virginia","54","2018","2018","Other bacterial diseases","A30-A49",2032,1805832,112.5,107.6,117.4,79.4,75.9,83.1
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2018","2018",,,2032,1805832,112.5,107.6,117.4,79.4,75.9,83.1
,"Census Region 3: South","CENS-R3","West Virginia","54","2019","2019","Other bacterial diseases","A30-A49",2054,1792147,114.6,109.7,119.6,80.7,77.2,84.4
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2019","2019",,,2054,1792147,114.6,109.7,119.6,80.7,77.2,84.4
,"Census Region 3: South","CENS-R3","West Virginia","54","2020","2020","Other bacterial diseases","A30-A49",2154,1784787,120.7,115.6,125.8,84.7,81.1,88.6
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2020","2020",,,2154,1784787,120.7,115.6,125.8,84.7,81.1,88.6
,"Census Region 3: South","CENS-R3","West Virginia","54","2021","2021","Other bacterial diseases","A30-A49",2621,1782959,147.0,141.4,152.6,104.8,100.6,109.1
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2021","2021",,,2621,1782959,147.0,141.4,152.6,104.8,100.6,109.1
,"Census Region 3: South","CENS-R3","West Virginia","54","2022","2022","Other bacterial diseases","A30-A49",1845,1775156,103.9,99.2,108.7,73.5,70.0,77.1
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2022","2022",,,1845,1775156,103.9,99.2,108.7,73.5,70.0,77.1
,"Census Region 3: South","CENS-R3","West Virginia","54","2023","2023","Other bacterial diseases","A30-A49",1796,1770071,101.5,96.8,106.2,69.7,66.4,73.2
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2023","2023",,,1796,1770071,101.5,96.8,106.2,69.7,66.4,73.2
,"Census Region 3: South","CENS-R3","West Virginia","54","2024","2024","Other bacterial diseases","A30-A49",1763,1769979,99.6,95.0,104.3,67.4,64.2,70.8
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2024","2024",,,1763,1769979,99.6,95.0,104.3,67.4,64.2,70.8
,"Census Region 3: South","CENS-R3","West Virginia","54","2025 (provisional)","2025","Other bacterial diseases","A30-A49",1687,1769979,95.3,90.8,99.9,63.9,60.8,67.2
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2025 (provisional)","2025",,,1687,1769979,95.3,90.8,99.9,63.9,60.8,67.2
,"Census Region 3: South","CENS-R3","West Virginia","54","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",149,1769979,8.4,7.1,9.8,5.6,4.7,6.7
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2026 (provisional and partial)","2026",,,149,1769979,8.4,7.1,9.8,5.6,4.7,6.7
"Total","Census Region 3: South","CENS-R3","West Virginia","54",,,,,16101,16020889,100.5,98.9,102.1,69.8,68.7,70.9
,"Census Region 3: South","CENS-R3","Alabama","01","2018","2018","Other bacterial diseases","A30-A49",3889,4887871,79.6,77.1,82.1,64.5,62.5,66.7
"Total","Census Region 3: South","CENS-R3","Alabama","01","2018","2018",,,3889,4887871,79.6,77.1,82.1,64.5,62.5,66.7
,"Census Region 3: South","CENS-R3","Alabama","01","2019","2019","Other bacterial diseases","A30-A49",3910,4903185,79.7,77.2,82.2,63.1,61.1,65.2
"Total","Census Region 3: South","CENS-R3","Alabama","01","2019","2019",,,3910,4903185,79.7,77.2,82.2,63.1,61.1,65.2
,"Census Region 3: South","CENS-R3","Alabama","01","2020","2020","Other bacterial diseases","A30-A49",4975,4921532,101.1,98.3,103.9,79.1,76.9,81.4
"Total","Census Region 3: South","CENS-R3","Alabama","01","2020","2020",,,4975,4921532,101.1,98.3,103.9,79.1,76.9,81.4
,"Census Region 3: South","CENS-R3","Alabama","01","2021","2021","Other bacterial diseases","A30-A49",5623,5039877,111.6,108.7,114.5,89.3,87.0,91.8
"Total","Census Region 3: South","CENS-R3","Alabama","01","2021","2021",,,5623,5039877,111.6,108.7,114.5,89.3,87.0,91.8
,"Census Region 3: South","CENS-R3","Alabama","01","2022","2022","Other bacterial diseases","A30-A49",4717,5074296,93.0,90.3,95.6,72.3,70.2,74.5
"Total","Census Region 3: South","CENS-R3","Alabama","01","2022","2022",,,4717,5074296,93.0,90.3,95.6,72.3,70.2,74.5
,"Census Region 3: South","CENS-R3","Alabama","01","2023","2023","Other bacterial diseases","A30-A49",4356,5108468,85.3,82.7,87.8,66.5,64.5,68.6
"Total","Census Region 3: South","CENS-R3","Alabama","01","2023","2023",,,4356,5108468,85.3,82.7,87.8,66.5,64.5,68.6
,"Census Region 3: South","CENS-R3","Alabama","01","2024","2024","Other bacterial diseases","A30-A49",4238,5157699,82.2,79.7,84.6,63.2,61.3,65.2
"Total","Census Region 3: South","CENS-R3","Alabama","01","2024","2024",,,4238,5157699,82.2,79.7,84.6,63.2,61.3,65.2
,"Census Region 3: South","CENS-R3","Alabama","01","2025 (provisional)","2025","Other bacterial diseases","A30-A49",4144,5157699,80.3,77.9,82.8,62.2,60.2,64.1
"Total","Census Region 3: South","CENS-R3","Alabama","01","2025 (provisional)","2025",,,4144,5157699,80.3,77.9,82.8,62.2,60.2,64.1
,"Census Region 3: South","CENS-R3","Alabama","01","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",380,5157699,7.4,6.6,8.1,5.7,5.1,6.3
"Total","Census Region 3: South","CENS-R3","Alabama","01","2026 (provisional and partial)","2026",,,380,5157699,7.4,6.6,8.1,5.7,5.1,6.3
"Total","Census Region 3: South","CENS-R3","Alabama","01",,,,,36232,45408326,79.8,79.0,80.6,62.6,61.9,63.2
,"Census Region 3: South","CENS-R3","Kentucky","21","2018","2018","Other bacterial diseases","A30-A49",4503,4468402,100.8,97.8,103.7,83.7,81.3,86.3
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2018","2018",,,4503,4468402,100.8,97.8,103.7,83.7,81.3,86.3
,"Census Region 3: South","CENS-R3","Kentucky","21","2019","2019","Other bacterial diseases","A30-A49",4570,4467673,102.3,99.3,105.3,83.1,80.7,85.6
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2019","2019",,,4570,4467673,102.3,99.3,105.3,83.1,80.7,85.6
,"Census Region 3: South","CENS-R3","Kentucky","21","2020","2020","Other bacterial diseases","A30-A49",5519,4477251,123.3,120.0,126.5,99.0,96.4,101.8
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2020","2020",,,5519,4477251,123.3,120.0,126.5,99.0,96.4,101.8
,"Census Region 3: South","CENS-R3","Kentucky","21","2021","2021","Other bacterial diseases","A30-A49",6207,4509394,137.6,134.2,141.1,113.1,110.2,116.0
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2021","2021",,,6207,4509394,137.6,134.2,141.1,113.1,110.2,116.0
,"Census Region 3: South","CENS-R3","Kentucky","21","2022","2022","Other bacterial diseases","A30-A49",5867,4512310,130.0,126.7,133.3,104.2,101.5,107.0
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2022","2022",,,5867,4512310,130.0,126.7,133.3,104.2,101.5,107.0
,"Census Region 3: South","CENS-R3","Kentucky","21","2023","2023","Other bacterial diseases","A30-A49",5282,4526154,116.7,113.6,119.8,93.0,90.5,95.7
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2023","2023",,,5282,4526154,116.7,113.6,119.8,93.0,90.5,95.7
,"Census Region 3: South","CENS-R3","Kentucky","21","2024","2024","Other bacterial diseases","A30-A49",4934,4588372,107.5,104.5,110.5,84.8,82.4,87.3
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2024","2024",,,4934,4588372,107.5,104.5,110.5,84.8,82.4,87.3
,"Census Region 3: South","CENS-R3","Kentucky","21","2025 (provisional)","2025","Other bacterial diseases","A30-A49",5069,4588372,110.5,107.4,113.5,87.4,85.0,89.9
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2025 (provisional)","2025",,,5069,4588372,110.5,107.4,113.5,87.4,85.0,89.9
,"Census Region 3: South","CENS-R3","Kentucky","21","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",400,4588372,8.7,7.9,9.6,7.0,6.3,7.7
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2026 (provisional and partial)","2026",,,400,4588372,8.7,7.9,9.6,7.0,6.3,7.7
"Total","Census Region 3: South","CENS-R3","Kentucky","21",,,,,42351,40726300,104.0,103.0,105.0,83.7,82.9,84.5
,"Census Region 3: South","CENS-R3","Mississippi","28","2018","2018","Other bacterial diseases","A30-A49",2751,2986530,92.1,88.7,95.6,78.0,75.1,81.1
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2018","2018",,,2751,2986530,92.1,88.7,95.6,78.0,75.1,81.1
,"Census Region 3: South","CENS-R3","Mississippi","28","2019","2019","Other bacterial diseases","A30-A49",2704,2976149,90.9,87.4,94.3,76.3,73.4,79.3
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2019","2019",,,2704,2976149,90.9,87.4,94.3,76.3,73.4,79.3
,"Census Region 3: South","CENS-R3","Mississippi","28","2020","2020","Other bacterial diseases","A30-A49",3236,2966786,109.1,105.3,112.8,89.8,86.7,93.0
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2020","2020",,,3236,2966786,109.1,105.3,112.8,89.8,86.7,93.0
,"Census Region 3: South","CENS-R3","Mississippi","28","2021","2021","Other bacterial diseases","A30-A49",3429,2949965,116.2,112.3,120.1,97.4,94.1,100.8
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2021","2021",,,3429,2949965,116.2,112.3,120.1,97.4,94.1,100.8
,"Census Region 3: South","CENS-R3","Mississippi","28","2022","2022","Other bacterial diseases","A30-A49",3319,2940057,112.9,109.0,116.7,91.8,88.6,95.0
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2022","2022",,,3319,2940057,112.9,109.0,116.7,91.8,88.6,95.0
,"Census Region 3: South","CENS-R3","Mississippi","28","2023","2023","Other bacterial diseases","A30-A49",2803,2939690,95.4,91.8,98.9,76.7,73.8,79.7
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2023","2023",,,2803,2939690,95.4,91.8,98.9,76.7,73.8,79.7
,"Census Region 3: South","CENS-R3","Mississippi","28","2024","2024","Other bacterial diseases","A30-A49",2911,2943045,98.9,95.3,102.5,78.7,75.8,81.7
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2024","2024",,,2911,2943045,98.9,95.3,102.5,78.7,75.8,81.7
,"Census Region 3: South","CENS-R3","Mississippi","28","2025 (provisional)","2025","Other bacterial diseases","A30-A49",2952,2943045,100.3,96.7,103.9,79.8,76.9,82.9
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2025 (provisional)","2025",,,2952,2943045,100.3,96.7,103.9,79.8,76.9,82.9
,"Census Region 3: South","CENS-R3","Mississippi","28","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",300,2943045,10.2,9.0,11.3,8.0,7.1,9.0
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2026 (provisional and partial)","2026",,,300,2943045,10.2,9.0,11.3,8.0,7.1,9.0
"Total","Census Region 3: South","CENS-R3","Mississippi","28",,,,,24405,26588312,91.8,90.6,92.9,75.0,74.0,76.0
,"Census Region 3: South","CENS-R3","Tennessee","47","2018","2018","Other bacterial diseases","A30-A49",5439,6770010,80.3,78.2,82.5,66.8,65.0,68.6
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2018","2018",,,5439,6770010,80.3,78.2,82.5,66.8,65.0,68.6
,"Census Region 3: South","CENS-R3","Tennessee","47","2019","2019","Other bacterial diseases","A30-A49",5328,6829174,78.0,75.9,80.1,63.7,61.9,65.4
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2019","2019",,,5328,6829174,78.0,75.9,80.1,63.7,61.9,65.4
,"Census Region 3: South","CENS-R3","Tennessee","47","2020","2020","Other bacterial diseases","A30-A49",6319,6886834,91.8,89.5,94.0,73.8,72.0,75.7
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2020","2020",,,6319,6886834,91.8,89.5,94.0,73.8,72.0,75.7
,"Census Region 3: South","CENS-R3","Tennessee","47","2021","2021","Other bacterial diseases","A30-A49",7295,6975218,104.6,102.2,107.0,86.8,84.8,88.9
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2021","2021",,,7295,6975218,104.6,102.2,107.0,86.8,84.8,88.9
,"Census Region 3: South","CENS-R3","Tennessee","47","2022","2022","Other bacterial diseases","A30-A49",6511,7051339,92.3,90.1,94.6,74.5,72.6,76.4
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2022","2022",,,6511,7051339,92.3,90.1,94.6,74.5,72.6,76.4
,"Census Region 3: South","CENS-R3","Tennessee","47","2023","2023","Other bacterial diseases","A30-A49",5981,7126489,83.9,81.8,86.1,68.5,66.7,70.3
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2023","2023",,,5981,7126489,83.9,81.8,86.1,68.5,66.7,70.3
,"Census Region 3: South","CENS-R3","Tennessee","47","2024","2024","Other bacterial diseases","A30-A49",5864,7227750,81.1,79.1,83.2,65.4,63.7,67.2
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2024","2024",,,5864,7227750,81.1,79.1,83.2,65.4,63.7,67.2
,"Census Region 3: South","CENS-R3","Tennessee","47","2025 (provisional)","2025","Other bacterial diseases","A30-A49",5714,7227750,79.1,77.0,81.1,63.4,61.7,65.1
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2025 (provisional)","2025",,,5714,7227750,79.1,77.0,81.1,63.4,61.7,65.1
,"Census Region 3: South","CENS-R3","Tennessee","47","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",519,7227750,7.2,6.6,7.8,5.8,5.3,6.3
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2026 (provisional and partial)","2026",,,519,7227750,7.2,6.6,7.8,5.8,5.3,6.3
"Total","Census Region 3: South","CENS-R3","Tennessee","47",,,,,48970,63322314,77.3,76.6,78.0,62.8,62.3,63.4
,"Census Region 3: South","CENS-R3","Arkansas","05","2018","2018","Other bacterial diseases","A30-A49",2538,3013825,84.2,80.9,87.5,67.9,65.3,70.7
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2018","2018",,,2538,3013825,84.2,80.9,87.5,67.9,65.3,70.7
,"Census Region 3: South","CENS-R3","Arkansas","05","2019","2019","Other bacterial diseases","A30-A49",2621,3017804,86.9,83.5,90.2,68.4,65.7,71.1
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2019","2019",,,2621,3017804,86.9,83.5,90.2,68.4,65.7,71.1
,"Census Region 3: South","CENS-R3","Arkansas","05","2020","2020","Other bacterial diseases","A30-A49",2961,3030522,97.7,94.2,101.2,77.1,74.3,80.0
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2020","2020",,,2961,3030522,97.7,94.2,101.2,77.1,74.3,80.0
,"Census Region 3: South","CENS-R3","Arkansas","05","2021","2021","Other bacterial diseases","A30-A49",3223,3025891,106.5,102.8,110.2,86.6,83.5,89.7
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2021","2021",,,3223,3025891,106.5,102.8,110.2,86.6,83.5,89.7
,"Census Region 3: South","CENS-R3","Arkansas","05","2022","2022","Other bacterial diseases","A30-A49",3143,3045637,103.2,99.6,106.8,81.5,78.6,84.5
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2022","2022",,,3143,3045637,103.2,99.6,106.8,81.5,78.6,84.5
,"Census Region 3: South","CENS-R3","Arkansas","05","2023","2023","Other bacterial diseases","A30-A49",2997,3067732,97.7,94.2,101.2,76.8,74.0,79.7
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2023","2023",,,2997,3067732,97.7,94.2,101.2,76.8,74.0,79.7
,"Census Region 3: South","CENS-R3","Arkansas","05","2024","2024","Other bacterial diseases","A30-A49",2924,3088354,94.7,91.2,98.1,73.5,70.8,76.2
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2024","2024",,,2924,3088354,94.7,91.2,98.1,73.5,70.8,76.2
,"Census Region 3: South","CENS-R3","Arkansas","05","2025 (provisional)","2025","Other bacterial diseases","A30-A49",2917,3088354,94.5,91.0,97.9,73.0,70.3,75.8
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2025 (provisional)","2025",,,2917,3088354,94.5,91.0,97.9,73.0,70.3,75.8
,"Census Region 3: South","CENS-R3","Arkansas","05","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",251,3088354,8.1,7.1,9.1,6.2,5.4,7.0
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2026 (provisional and partial)","2026",,,251,3088354,8.1,7.1,9.1,6.2,5.4,7.0
"Total","Census Region 3: South","CENS-R3","Arkansas","05",,,,,23575,27466473,85.8,84.7,86.9,67.7,66.9,68.6
,"Census Region 3: South","CENS-R3","Louisiana","22","2018","2018","Other bacterial diseases","A30-A49",3458,4659978,74.2,71.7,76.7,64.2,62.0,66.4
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2018","2018",,,3458,4659978,74.2,71.7,76.7,64.2,62.0,66.4
,"Census Region 3: South","CENS-R3","Louisiana","22","2019","2019","Other bacterial diseases","A30-A49",3283,4648794,70.6,68.2,73.0,59.9,57.8,62.0
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2019","2019",,,3283,4648794,70.6,68.2,73.0,59.9,57.8,62.0
,"Census Region 3: South","CENS-R3","Louisiana","22","2020","2020","Other bacterial diseases","A30-A49",4235,4645318,91.2,88.4,93.9,76.0,73.7,78.4
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2020","2020",,,4235,4645318,91.2,88.4,93.9,76.0,73.7,78.4
,"Census Region 3: South","CENS-R3","Louisiana","22","2021","2021","Other bacterial diseases","A30-A49",4230,4624047,91.5,88.7,94.2,77.6,75.2,80.0
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2021","2021",,,4230,4624047,91.5,88.7,94.2,77.6,75.2,80.0
,"Census Region 3: South","CENS-R3","Louisiana","22","2022","2022","Other bacterial diseases","A30-A49",3879,4590241,84.5,81.8,87.2,70.2,67.9,72.5
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2022","2022",,,3879,4590241,84.5,81.8,87.2,70.2,67.9,72.5
,"Census Region 3: South","CENS-R3","Louisiana","22","2023","2023","Other bacterial diseases","A30-A49",3477,4573749,76.0,73.5,78.5,62.3,60.2,64.5
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2023","2023",,,3477,4573749,76.0,73.5,78.5,62.3,60.2,64.5
,"Census Region 3: South","CENS-R3","Louisiana","22","2024","2024","Other bacterial diseases","A30-A49",3420,4597740,74.4,71.9,76.9,60.1,58.1,62.2
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2024","2024",,,3420,4597740,74.4,71.9,76.9,60.1,58.1,62.2
,"Census Region 3: South","CENS-R3","Louisiana","22","2025 (provisional)","2025","Other bacterial diseases","A30-A49",3346,4597740,72.8,70.3,75.2,58.9,56.9,61.0
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2025 (provisional)","2025",,,3346,4597740,72.8,70.3,75.2,58.9,56.9,61.0
,"Census Region 3: South","CENS-R3","Louisiana","22","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",235,4597740,5.1,4.5,5.8,4.1,3.6,4.7
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2026 (provisional and partial)","2026",,,235,4597740,5.1,4.5,5.8,4.1,3.6,4.7
"Total","Census Region 3: South","CENS-R3","Louisiana","22",,,,,29563,41535347,71.2,70.4,72.0,59.1,58.4,59.8
,"Census Region 3: South","CENS-R3","Oklahoma","40","2018","2018","Other bacterial diseases","A30-A49",3417,3943079,86.7,83.8,89.6,73.8,71.3,76.3
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2018","2018",,,3417,3943079,86.7,83.8,89.6,73.8,71.3,76.3
,"Census Region 3: South","CENS-R3","Oklahoma","40","2019","2019","Other bacterial diseases","A30-A49",3397,3956971,85.8,83.0,88.7,72.1,69.7,74.6
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2019","2019",,,3397,3956971,85.8,83.0,88.7,72.1,69.7,74.6
,"Census Region 3: South","CENS-R3","Oklahoma","40","2020","2020","Other bacterial diseases","A30-A49",3959,3980783,99.5,96.4,102.6,82.6,80.0,85.2
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2020","2020",,,3959,3980783,99.5,96.4,102.6,82.6,80.0,85.2
,"Census Region 3: South","CENS-R3","Oklahoma","40","2021","2021","Other bacterial diseases","A30-A49",4312,3986639,108.2,104.9,111.4,92.2,89.4,95.1
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2021","2021",,,4312,3986639,108.2,104.9,111.4,92.2,89.4,95.1
,"Census Region 3: South","CENS-R3","Oklahoma","40","2022","2022","Other bacterial diseases","A30-A49",3909,4019800,97.2,94.2,100.3,81.9,79.4,84.6
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2022","2022",,,3909,4019800,97.2,94.2,100.3,81.9,79.4,84.6
