"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 4: West","CENS-R4","Idaho","16","2018","2018","Other bacterial diseases","A30-A49",58,1754208,3.3,2.9
,"Census Region 4: West","CENS-R4","Idaho","16","2018","2018","Renal failure","N17-N19",58,1754208,3.3,2.9
"Total","Census Region 4: West","CENS-R4","Idaho","16","2018","2018",,,116,1754208,6.6,5.7
,"Census Region 4: West","CENS-R4","Idaho","16","2019","2019","Other bacterial diseases","A30-A49",69,1787065,3.9,3.4
,"Census Region 4: West","CENS-R4","Idaho","16","2019","2019","Renal failure","N17-N19",72,1787065,4.0,3.5
"Total","Census Region 4: West","CENS-R4","Idaho","16","2019","2019",,,141,1787065,7.9,6.9
,"Census Region 4: West","CENS-R4","Idaho","16","2020","2020","Other bacterial diseases","A30-A49",82,1826913,4.5,3.7
,"Census Region 4: West","CENS-R4","Idaho","16","2020","2020","Renal failure","N17-N19",87,1826913,4.8,3.9
"Total","Census Region 4: West","CENS-R4","Idaho","16","2020","2020",,,169,1826913,9.3,7.5
,"Census Region 4: West","CENS-R4","Idaho","16","2021","2021","Other bacterial diseases","A30-A49",138,1900923,7.3,6.2
,"Census Region 4: West","CENS-R4","Idaho","16","2021","2021","Renal failure","N17-N19",148,1900923,7.8,6.6
"Total","Census Region 4: West","CENS-R4","Idaho","16","2021","2021",,,286,1900923,15.0,12.7
,"Census Region 4: West","CENS-R4","Idaho","16","2022","2022","Other bacterial diseases","A30-A49",142,1939033,7.3,6.3
,"Census Region 4: West","CENS-R4","Idaho","16","2022","2022","Renal failure","N17-N19",149,1939033,7.7,6.6
"Total","Census Region 4: West","CENS-R4","Idaho","16","2022","2022",,,291,1939033,15.0,12.9
,"Census Region 4: West","CENS-R4","Idaho","16","2023","2023","Other bacterial diseases","A30-A49",169,1964726,8.6,7.3
,"Census Region 4: West","CENS-R4","Idaho","16","2023","2023","Renal failure","N17-N19",176,1964726,9.0,7.6
"Total","Census Region 4: West","CENS-R4","Idaho","16","2023","2023",,,345,1964726,17.6,14.9
,"Census Region 4: West","CENS-R4","Idaho","16","2024 (provisional)","2024","Other bacterial diseases","A30-A49",149,2001619,7.4,6.1
,"Census Region 4: West","CENS-R4","Idaho","16","2024 (provisional)","2024","Renal failure","N17-N19",151,2001619,7.5,6.2
"Total","Census Region 4: West","CENS-R4","Idaho","16","2024 (provisional)","2024",,,300,2001619,15.0,12.3
,"Census Region 4: West","CENS-R4","Idaho","16","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",130,2001619,6.5,5.4
,"Census Region 4: West","CENS-R4","Idaho","16","2025 (provisional and partial)","2025","Renal failure","N17-N19",131,2001619,6.5,5.4
"Total","Census Region 4: West","CENS-R4","Idaho","16","2025 (provisional and partial)","2025",,,261,2001619,13.0,10.8
,"Census Region 4: West","CENS-R4","Idaho","16","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",13,2001619,Unreliable,Unreliable
,"Census Region 4: West","CENS-R4","Idaho","16","2026 (provisional and partial)","2026","Renal failure","N17-N19",13,2001619,Unreliable,Unreliable
"Total","Census Region 4: West","CENS-R4","Idaho","16","2026 (provisional and partial)","2026",,,26,2001619,1.3,1.1
"Total","Census Region 4: West","CENS-R4","Idaho","16",,,,,1935,17177725,11.3,9.5
,"Census Region 4: West","CENS-R4","Montana","30","2018","2018","Other bacterial diseases","A30-A49",48,1062305,4.5,3.3
,"Census Region 4: West","CENS-R4","Montana","30","2018","2018","Renal failure","N17-N19",48,1062305,4.5,3.3
"Total","Census Region 4: West","CENS-R4","Montana","30","2018","2018",,,96,1062305,9.0,6.6
,"Census Region 4: West","CENS-R4","Montana","30","2019","2019","Other bacterial diseases","A30-A49",46,1068778,4.3,3.5
,"Census Region 4: West","CENS-R4","Montana","30","2019","2019","Renal failure","N17-N19",46,1068778,4.3,3.5
"Total","Census Region 4: West","CENS-R4","Montana","30","2019","2019",,,92,1068778,8.6,7.1
,"Census Region 4: West","CENS-R4","Montana","30","2020","2020","Other bacterial diseases","A30-A49",60,1080577,5.6,4.2
,"Census Region 4: West","CENS-R4","Montana","30","2020","2020","Renal failure","N17-N19",61,1080577,5.6,4.3
"Total","Census Region 4: West","CENS-R4","Montana","30","2020","2020",,,121,1080577,11.2,8.6
,"Census Region 4: West","CENS-R4","Montana","30","2021","2021","Other bacterial diseases","A30-A49",149,1104271,13.5,10.6
,"Census Region 4: West","CENS-R4","Montana","30","2021","2021","Renal failure","N17-N19",152,1104271,13.8,10.8
"Total","Census Region 4: West","CENS-R4","Montana","30","2021","2021",,,301,1104271,27.3,21.3
,"Census Region 4: West","CENS-R4","Montana","30","2022","2022","Other bacterial diseases","A30-A49",147,1122867,13.1,9.9
,"Census Region 4: West","CENS-R4","Montana","30","2022","2022","Renal failure","N17-N19",148,1122867,13.2,10.0
"Total","Census Region 4: West","CENS-R4","Montana","30","2022","2022",,,295,1122867,26.3,20.0
,"Census Region 4: West","CENS-R4","Montana","30","2023","2023","Other bacterial diseases","A30-A49",93,1132812,8.2,6.0
,"Census Region 4: West","CENS-R4","Montana","30","2023","2023","Renal failure","N17-N19",93,1132812,8.2,6.0
"Total","Census Region 4: West","CENS-R4","Montana","30","2023","2023",,,186,1132812,16.4,12.0
,"Census Region 4: West","CENS-R4","Montana","30","2024 (provisional)","2024","Other bacterial diseases","A30-A49",99,1137233,8.7,6.2
,"Census Region 4: West","CENS-R4","Montana","30","2024 (provisional)","2024","Renal failure","N17-N19",101,1137233,8.9,6.3
"Total","Census Region 4: West","CENS-R4","Montana","30","2024 (provisional)","2024",,,200,1137233,17.6,12.5
,"Census Region 4: West","CENS-R4","Montana","30","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",98,1137233,8.6,6.2
,"Census Region 4: West","CENS-R4","Montana","30","2025 (provisional and partial)","2025","Renal failure","N17-N19",100,1137233,8.8,6.3
"Total","Census Region 4: West","CENS-R4","Montana","30","2025 (provisional and partial)","2025",,,198,1137233,17.4,12.5
"Total","Census Region 4: West","CENS-R4","Montana","30","2026 (provisional and partial)","2026",,,10,1137233,Unreliable,Unreliable
"Total","Census Region 4: West","CENS-R4","Montana","30",,,,,1499,9983309,15.0,11.2
,"Census Region 4: West","CENS-R4","Nevada","32","2018","2018","Other bacterial diseases","A30-A49",205,3034392,6.8,5.9
,"Census Region 4: West","CENS-R4","Nevada","32","2018","2018","Renal failure","N17-N19",205,3034392,6.8,5.9
"Total","Census Region 4: West","CENS-R4","Nevada","32","2018","2018",,,410,3034392,13.5,11.7
,"Census Region 4: West","CENS-R4","Nevada","32","2019","2019","Other bacterial diseases","A30-A49",175,3080156,5.7,4.9
,"Census Region 4: West","CENS-R4","Nevada","32","2019","2019","Renal failure","N17-N19",176,3080156,5.7,5.0
"Total","Census Region 4: West","CENS-R4","Nevada","32","2019","2019",,,351,3080156,11.4,9.9
,"Census Region 4: West","CENS-R4","Nevada","32","2020","2020","Other bacterial diseases","A30-A49",224,3138259,7.1,5.9
,"Census Region 4: West","CENS-R4","Nevada","32","2020","2020","Renal failure","N17-N19",228,3138259,7.3,6.0
"Total","Census Region 4: West","CENS-R4","Nevada","32","2020","2020",,,452,3138259,14.4,12.0
,"Census Region 4: West","CENS-R4","Nevada","32","2021","2021","Other bacterial diseases","A30-A49",350,3143991,11.1,9.6
,"Census Region 4: West","CENS-R4","Nevada","32","2021","2021","Renal failure","N17-N19",357,3143991,11.4,9.8
"Total","Census Region 4: West","CENS-R4","Nevada","32","2021","2021",,,707,3143991,22.5,19.3
,"Census Region 4: West","CENS-R4","Nevada","32","2022","2022","Other bacterial diseases","A30-A49",387,3177772,12.2,10.2
,"Census Region 4: West","CENS-R4","Nevada","32","2022","2022","Renal failure","N17-N19",395,3177772,12.4,10.4
"Total","Census Region 4: West","CENS-R4","Nevada","32","2022","2022",,,782,3177772,24.6,20.6
,"Census Region 4: West","CENS-R4","Nevada","32","2023","2023","Other bacterial diseases","A30-A49",325,3194176,10.2,8.5
,"Census Region 4: West","CENS-R4","Nevada","32","2023","2023","Renal failure","N17-N19",332,3194176,10.4,8.7
"Total","Census Region 4: West","CENS-R4","Nevada","32","2023","2023",,,657,3194176,20.6,17.1
,"Census Region 4: West","CENS-R4","Nevada","32","2024 (provisional)","2024","Other bacterial diseases","A30-A49",293,3267467,9.0,7.3
,"Census Region 4: West","CENS-R4","Nevada","32","2024 (provisional)","2024","Renal failure","N17-N19",297,3267467,9.1,7.4
"Total","Census Region 4: West","CENS-R4","Nevada","32","2024 (provisional)","2024",,,590,3267467,18.1,14.6
,"Census Region 4: West","CENS-R4","Nevada","32","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",303,3267467,9.3,7.4
,"Census Region 4: West","CENS-R4","Nevada","32","2025 (provisional and partial)","2025","Renal failure","N17-N19",307,3267467,9.4,7.5
"Total","Census Region 4: West","CENS-R4","Nevada","32","2025 (provisional and partial)","2025",,,610,3267467,18.7,14.9
,"Census Region 4: West","CENS-R4","Nevada","32","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",16,3267467,Unreliable,Unreliable
,"Census Region 4: West","CENS-R4","Nevada","32","2026 (provisional and partial)","2026","Renal failure","N17-N19",16,3267467,Unreliable,Unreliable
"Total","Census Region 4: West","CENS-R4","Nevada","32","2026 (provisional and partial)","2026",,,32,3267467,1.0,0.8
"Total","Census Region 4: West","CENS-R4","Nevada","32",,,,,4591,28571147,16.1,13.4
,"Census Region 4: West","CENS-R4","New Mexico","35","2018","2018","Other bacterial diseases","A30-A49",137,2095428,6.5,5.5
,"Census Region 4: West","CENS-R4","New Mexico","35","2018","2018","Renal failure","N17-N19",138,2095428,6.6,5.5
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2018","2018",,,275,2095428,13.1,11.0
,"Census Region 4: West","CENS-R4","New Mexico","35","2019","2019","Other bacterial diseases","A30-A49",113,2096829,5.4,4.3
,"Census Region 4: West","CENS-R4","New Mexico","35","2019","2019","Renal failure","N17-N19",119,2096829,5.7,4.5
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2019","2019",,,232,2096829,11.1,8.8
,"Census Region 4: West","CENS-R4","New Mexico","35","2020","2020","Other bacterial diseases","A30-A49",183,2106319,8.7,7.1
,"Census Region 4: West","CENS-R4","New Mexico","35","2020","2020","Renal failure","N17-N19",184,2106319,8.7,7.1
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2020","2020",,,367,2106319,17.4,14.2
,"Census Region 4: West","CENS-R4","New Mexico","35","2021","2021","Other bacterial diseases","A30-A49",249,2115877,11.8,9.6
,"Census Region 4: West","CENS-R4","New Mexico","35","2021","2021","Renal failure","N17-N19",254,2115877,12.0,9.8
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2021","2021",,,503,2115877,23.8,19.4
,"Census Region 4: West","CENS-R4","New Mexico","35","2022","2022","Other bacterial diseases","A30-A49",246,2113344,11.6,9.2
,"Census Region 4: West","CENS-R4","New Mexico","35","2022","2022","Renal failure","N17-N19",249,2113344,11.8,9.4
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2022","2022",,,495,2113344,23.4,18.6
,"Census Region 4: West","CENS-R4","New Mexico","35","2023","2023","Other bacterial diseases","A30-A49",161,2114371,7.6,5.9
,"Census Region 4: West","CENS-R4","New Mexico","35","2023","2023","Renal failure","N17-N19",162,2114371,7.7,6.0
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2023","2023",,,323,2114371,15.3,11.9
,"Census Region 4: West","CENS-R4","New Mexico","35","2024 (provisional)","2024","Other bacterial diseases","A30-A49",183,2130256,8.6,6.7
,"Census Region 4: West","CENS-R4","New Mexico","35","2024 (provisional)","2024","Renal failure","N17-N19",184,2130256,8.6,6.7
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2024 (provisional)","2024",,,367,2130256,17.2,13.4
,"Census Region 4: West","CENS-R4","New Mexico","35","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",181,2130256,8.5,6.5
,"Census Region 4: West","CENS-R4","New Mexico","35","2025 (provisional and partial)","2025","Renal failure","N17-N19",183,2130256,8.6,6.6
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2025 (provisional and partial)","2025",,,364,2130256,17.1,13.2
,"Census Region 4: West","CENS-R4","New Mexico","35","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",11,2130256,Unreliable,Unreliable
,"Census Region 4: West","CENS-R4","New Mexico","35","2026 (provisional and partial)","2026","Renal failure","N17-N19",11,2130256,Unreliable,Unreliable
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2026 (provisional and partial)","2026",,,22,2130256,1.0,0.7
"Total","Census Region 4: West","CENS-R4","New Mexico","35",,,,,2948,19032936,15.5,12.3
,"Census Region 4: West","CENS-R4","Utah","49","2018","2018","Other bacterial diseases","A30-A49",100,3161105,3.2,3.7
,"Census Region 4: West","CENS-R4","Utah","49","2018","2018","Renal failure","N17-N19",100,3161105,3.2,3.7
"Total","Census Region 4: West","CENS-R4","Utah","49","2018","2018",,,200,3161105,6.3,7.4
,"Census Region 4: West","CENS-R4","Utah","49","2019","2019","Other bacterial diseases","A30-A49",121,3205958,3.8,4.4
,"Census Region 4: West","CENS-R4","Utah","49","2019","2019","Renal failure","N17-N19",121,3205958,3.8,4.4
"Total","Census Region 4: West","CENS-R4","Utah","49","2019","2019",,,242,3205958,7.5,8.7
,"Census Region 4: West","CENS-R4","Utah","49","2020","2020","Other bacterial diseases","A30-A49",137,3249879,4.2,4.7
,"Census Region 4: West","CENS-R4","Utah","49","2020","2020","Renal failure","N17-N19",139,3249879,4.3,4.8
"Total","Census Region 4: West","CENS-R4","Utah","49","2020","2020",,,276,3249879,8.5,9.5
,"Census Region 4: West","CENS-R4","Utah","49","2021","2021","Other bacterial diseases","A30-A49",239,3337975,7.2,8.2
,"Census Region 4: West","CENS-R4","Utah","49","2021","2021","Renal failure","N17-N19",243,3337975,7.3,8.3
"Total","Census Region 4: West","CENS-R4","Utah","49","2021","2021",,,482,3337975,14.4,16.5
,"Census Region 4: West","CENS-R4","Utah","49","2022","2022","Other bacterial diseases","A30-A49",221,3380800,6.5,7.3
,"Census Region 4: West","CENS-R4","Utah","49","2022","2022","Renal failure","N17-N19",222,3380800,6.6,7.3
"Total","Census Region 4: West","CENS-R4","Utah","49","2022","2022",,,443,3380800,13.1,14.6
,"Census Region 4: West","CENS-R4","Utah","49","2023","2023","Other bacterial diseases","A30-A49",222,3417734,6.5,7.2
,"Census Region 4: West","CENS-R4","Utah","49","2023","2023","Renal failure","N17-N19",223,3417734,6.5,7.3
"Total","Census Region 4: West","CENS-R4","Utah","49","2023","2023",,,445,3417734,13.0,14.5
,"Census Region 4: West","CENS-R4","Utah","49","2024 (provisional)","2024","Other bacterial diseases","A30-A49",225,3503613,6.4,7.2
,"Census Region 4: West","CENS-R4","Utah","49","2024 (provisional)","2024","Renal failure","N17-N19",226,3503613,6.5,7.3
"Total","Census Region 4: West","CENS-R4","Utah","49","2024 (provisional)","2024",,,451,3503613,12.9,14.5
,"Census Region 4: West","CENS-R4","Utah","49","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",181,3503613,5.2,5.8
,"Census Region 4: West","CENS-R4","Utah","49","2025 (provisional and partial)","2025","Renal failure","N17-N19",184,3503613,5.3,5.9
"Total","Census Region 4: West","CENS-R4","Utah","49","2025 (provisional and partial)","2025",,,365,3503613,10.4,11.7
"Total","Census Region 4: West","CENS-R4","Utah","49",,,,,2912,30264290,9.6,10.8
,"Census Region 4: West","CENS-R4","Wyoming","56","2018","2018","Other bacterial diseases","A30-A49",27,577737,4.7,4.1
,"Census Region 4: West","CENS-R4","Wyoming","56","2018","2018","Renal failure","N17-N19",27,577737,4.7,4.1
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2018","2018",,,54,577737,9.3,8.3
,"Census Region 4: West","CENS-R4","Wyoming","56","2019","2019","Other bacterial diseases","A30-A49",22,578759,3.8,3.3
,"Census Region 4: West","CENS-R4","Wyoming","56","2019","2019","Renal failure","N17-N19",22,578759,3.8,3.3
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2019","2019",,,44,578759,7.6,6.5
,"Census Region 4: West","CENS-R4","Wyoming","56","2020","2020","Other bacterial diseases","A30-A49",30,582328,5.2,3.9
,"Census Region 4: West","CENS-R4","Wyoming","56","2020","2020","Renal failure","N17-N19",30,582328,5.2,3.9
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2020","2020",,,60,582328,10.3,7.8
,"Census Region 4: West","CENS-R4","Wyoming","56","2021","2021","Other bacterial diseases","A30-A49",65,578803,11.2,9.2
,"Census Region 4: West","CENS-R4","Wyoming","56","2021","2021","Renal failure","N17-N19",66,578803,11.4,9.4
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2021","2021",,,131,578803,22.6,18.6
,"Census Region 4: West","CENS-R4","Wyoming","56","2022","2022","Other bacterial diseases","A30-A49",70,581381,12.0,9.2
,"Census Region 4: West","CENS-R4","Wyoming","56","2022","2022","Renal failure","N17-N19",70,581381,12.0,9.2
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2022","2022",,,140,581381,24.1,18.4
,"Census Region 4: West","CENS-R4","Wyoming","56","2023","2023","Other bacterial diseases","A30-A49",82,584057,14.0,11.0
,"Census Region 4: West","CENS-R4","Wyoming","56","2023","2023","Renal failure","N17-N19",84,584057,14.4,11.3
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2023","2023",,,166,584057,28.4,22.3
,"Census Region 4: West","CENS-R4","Wyoming","56","2024 (provisional)","2024","Other bacterial diseases","A30-A49",90,587618,15.3,11.6
,"Census Region 4: West","CENS-R4","Wyoming","56","2024 (provisional)","2024","Renal failure","N17-N19",100,587618,17.0,13.0
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2024 (provisional)","2024",,,190,587618,32.3,24.6
,"Census Region 4: West","CENS-R4","Wyoming","56","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",65,587618,11.1,8.6
,"Census Region 4: West","CENS-R4","Wyoming","56","2025 (provisional and partial)","2025","Renal failure","N17-N19",65,587618,11.1,8.6
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2025 (provisional and partial)","2025",,,130,587618,22.1,17.2
"Total","Census Region 4: West","CENS-R4","Wyoming","56",,,,,921,5245919,17.6,13.9
,"Census Region 4: West","CENS-R4","Alaska","02","2018","2018","Other bacterial diseases","A30-A49",11,737438,Unreliable,Unreliable
,"Census Region 4: West","CENS-R4","Alaska","02","2018","2018","Renal failure","N17-N19",11,737438,Unreliable,Unreliable
"Total","Census Region 4: West","CENS-R4","Alaska","02","2018","2018",,,22,737438,3.0,2.8
,"Census Region 4: West","CENS-R4","Alaska","02","2019","2019","Other bacterial diseases","A30-A49",16,731545,Unreliable,Unreliable
,"Census Region 4: West","CENS-R4","Alaska","02","2019","2019","Renal failure","N17-N19",16,731545,Unreliable,Unreliable
"Total","Census Region 4: West","CENS-R4","Alaska","02","2019","2019",,,32,731545,4.4,5.0
,"Census Region 4: West","CENS-R4","Alaska","02","2020","2020","Other bacterial diseases","A30-A49",11,731158,Unreliable,Unreliable
,"Census Region 4: West","CENS-R4","Alaska","02","2020","2020","Renal failure","N17-N19",11,731158,Unreliable,Unreliable
"Total","Census Region 4: West","CENS-R4","Alaska","02","2020","2020",,,22,731158,3.0,2.9
,"Census Region 4: West","CENS-R4","Alaska","02","2021","2021","Other bacterial diseases","A30-A49",30,732673,4.1,4.4
,"Census Region 4: West","CENS-R4","Alaska","02","2021","2021","Renal failure","N17-N19",30,732673,4.1,4.4
"Total","Census Region 4: West","CENS-R4","Alaska","02","2021","2021",,,60,732673,8.2,8.7
,"Census Region 4: West","CENS-R4","Alaska","02","2022","2022","Other bacterial diseases","A30-A49",57,733583,7.8,8.1
,"Census Region 4: West","CENS-R4","Alaska","02","2022","2022","Renal failure","N17-N19",58,733583,7.9,8.2
"Total","Census Region 4: West","CENS-R4","Alaska","02","2022","2022",,,115,733583,15.7,16.3
,"Census Region 4: West","CENS-R4","Alaska","02","2023","2023","Other bacterial diseases","A30-A49",49,733406,6.7,6.6
,"Census Region 4: West","CENS-R4","Alaska","02","2023","2023","Renal failure","N17-N19",49,733406,6.7,6.6
"Total","Census Region 4: West","CENS-R4","Alaska","02","2023","2023",,,98,733406,13.4,13.3
,"Census Region 4: West","CENS-R4","Alaska","02","2024 (provisional)","2024","Other bacterial diseases","A30-A49",34,740133,4.6,4.4
,"Census Region 4: West","CENS-R4","Alaska","02","2024 (provisional)","2024","Renal failure","N17-N19",34,740133,4.6,4.4
"Total","Census Region 4: West","CENS-R4","Alaska","02","2024 (provisional)","2024",,,68,740133,9.2,8.8
,"Census Region 4: West","CENS-R4","Alaska","02","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",52,740133,7.0,7.4
,"Census Region 4: West","CENS-R4","Alaska","02","2025 (provisional and partial)","2025","Renal failure","N17-N19",52,740133,7.0,7.4
"Total","Census Region 4: West","CENS-R4","Alaska","02","2025 (provisional and partial)","2025",,,104,740133,14.1,14.8
"Total","Census Region 4: West","CENS-R4","Alaska","02",,,,,523,6620202,7.9,8.2
,"Census Region 4: West","CENS-R4","California","06","2018","2018","Other bacterial diseases","A30-A49",2404,39557045,6.1,5.4
,"Census Region 4: West","CENS-R4","California","06","2018","2018","Renal failure","N17-N19",2442,39557045,6.2,5.5
"Total","Census Region 4: West","CENS-R4","California","06","2018","2018",,,4846,39557045,12.3,11.0
,"Census Region 4: West","CENS-R4","California","06","2019","2019","Other bacterial diseases","A30-A49",2463,39512223,6.2,5.5
,"Census Region 4: West","CENS-R4","California","06","2019","2019","Renal failure","N17-N19",2506,39512223,6.3,5.6
"Total","Census Region 4: West","CENS-R4","California","06","2019","2019",,,4969,39512223,12.6,11.1
,"Census Region 4: West","CENS-R4","California","06","2020","2020","Other bacterial diseases","A30-A49",3133,39368078,8.0,6.8
,"Census Region 4: West","CENS-R4","California","06","2020","2020","Renal failure","N17-N19",3176,39368078,8.1,6.9
"Total","Census Region 4: West","CENS-R4","California","06","2020","2020",,,6309,39368078,16.0,13.8
,"Census Region 4: West","CENS-R4","California","06","2021","2021","Other bacterial diseases","A30-A49",4921,39237836,12.5,11.0
,"Census Region 4: West","CENS-R4","California","06","2021","2021","Renal failure","N17-N19",4998,39237836,12.7,11.2
"Total","Census Region 4: West","CENS-R4","California","06","2021","2021",,,9919,39237836,25.3,22.1
,"Census Region 4: West","CENS-R4","California","06","2022","2022","Other bacterial diseases","A30-A49",4677,39029342,12.0,10.1
,"Census Region 4: West","CENS-R4","California","06","2022","2022","Renal failure","N17-N19",4737,39029342,12.1,10.3
"Total","Census Region 4: West","CENS-R4","California","06","2022","2022",,,9414,39029342,24.1,20.4
,"Census Region 4: West","CENS-R4","California","06","2023","2023","Other bacterial diseases","A30-A49",4542,38965193,11.7,9.8
,"Census Region 4: West","CENS-R4","California","06","2023","2023","Renal failure","N17-N19",4602,38965193,11.8,9.9
"Total","Census Region 4: West","CENS-R4","California","06","2023","2023",,,9144,38965193,23.5,19.7
,"Census Region 4: West","CENS-R4","California","06","2024 (provisional)","2024","Other bacterial diseases","A30-A49",4309,39431263,10.9,9.0
,"Census Region 4: West","CENS-R4","California","06","2024 (provisional)","2024","Renal failure","N17-N19",4370,39431263,11.1,9.2
"Total","Census Region 4: West","CENS-R4","California","06","2024 (provisional)","2024",,,8679,39431263,22.0,18.2
,"Census Region 4: West","CENS-R4","California","06","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",4214,39431263,10.7,8.8
,"Census Region 4: West","CENS-R4","California","06","2025 (provisional and partial)","2025","Renal failure","N17-N19",4277,39431263,10.8,9.0
"Total","Census Region 4: West","CENS-R4","California","06","2025 (provisional and partial)","2025",,,8491,39431263,21.5,17.8
,"Census Region 4: West","CENS-R4","California","06","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",237,39431263,0.6,0.5
,"Census Region 4: West","CENS-R4","California","06","2026 (provisional and partial)","2026","Renal failure","N17-N19",239,39431263,0.6,0.5
"Total","Census Region 4: West","CENS-R4","California","06","2026 (provisional and partial)","2026",,,476,39431263,1.2,1.0
"Total","Census Region 4: West","CENS-R4","California","06",,,,,62247,353963506,17.6,15.0
,"Census Region 4: West","CENS-R4","Hawaii","15","2018","2018","Other bacterial diseases","A30-A49",48,1420491,3.4,2.5
,"Census Region 4: West","CENS-R4","Hawaii","15","2018","2018","Renal failure","N17-N19",48,1420491,3.4,2.5
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2018","2018",,,96,1420491,6.8,5.0
,"Census Region 4: West","CENS-R4","Hawaii","15","2019","2019","Other bacterial diseases","A30-A49",49,1415872,3.5,2.6
,"Census Region 4: West","CENS-R4","Hawaii","15","2019","2019","Renal failure","N17-N19",49,1415872,3.5,2.6
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2019","2019",,,98,1415872,6.9,5.2
,"Census Region 4: West","CENS-R4","Hawaii","15","2020","2020","Other bacterial diseases","A30-A49",59,1407006,4.2,2.9
,"Census Region 4: West","CENS-R4","Hawaii","15","2020","2020","Renal failure","N17-N19",59,1407006,4.2,2.9
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2020","2020",,,118,1407006,8.4,5.9
,"Census Region 4: West","CENS-R4","Hawaii","15","2021","2021","Other bacterial diseases","A30-A49",101,1441553,7.0,5.2
,"Census Region 4: West","CENS-R4","Hawaii","15","2021","2021","Renal failure","N17-N19",101,1441553,7.0,5.2
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2021","2021",,,202,1441553,14.0,10.3
,"Census Region 4: West","CENS-R4","Hawaii","15","2022","2022","Other bacterial diseases","A30-A49",110,1440196,7.6,5.5
,"Census Region 4: West","CENS-R4","Hawaii","15","2022","2022","Renal failure","N17-N19",111,1440196,7.7,5.5
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2022","2022",,,221,1440196,15.3,11.1
,"Census Region 4: West","CENS-R4","Hawaii","15","2023","2023","Other bacterial diseases","A30-A49",111,1435138,7.7,5.4
,"Census Region 4: West","CENS-R4","Hawaii","15","2023","2023","Renal failure","N17-N19",112,1435138,7.8,5.4
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2023","2023",,,223,1435138,15.5,10.8
,"Census Region 4: West","CENS-R4","Hawaii","15","2024 (provisional)","2024","Other bacterial diseases","A30-A49",103,1446146,7.1,4.6
,"Census Region 4: West","CENS-R4","Hawaii","15","2024 (provisional)","2024","Renal failure","N17-N19",105,1446146,7.3,4.7
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2024 (provisional)","2024",,,208,1446146,14.4,9.4
,"Census Region 4: West","CENS-R4","Hawaii","15","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",98,1446146,6.8,4.7
,"Census Region 4: West","CENS-R4","Hawaii","15","2025 (provisional and partial)","2025","Renal failure","N17-N19",98,1446146,6.8,4.7
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2025 (provisional and partial)","2025",,,196,1446146,13.6,9.4
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2026 (provisional and partial)","2026",,,10,1446146,Unreliable,Unreliable
"Total","Census Region 4: West","CENS-R4","Hawaii","15",,,,,1372,12898694,10.6,7.5
,"Census Region 4: West","CENS-R4","Oregon","41","2018","2018","Other bacterial diseases","A30-A49",233,4190713,5.6,4.4
,"Census Region 4: West","CENS-R4","Oregon","41","2018","2018","Renal failure","N17-N19",237,4190713,5.7,4.5
"Total","Census Region 4: West","CENS-R4","Oregon","41","2018","2018",,,470,4190713,11.2,8.9
