"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2011","2011","Renal failure","N17-N19","75-79 years","75-79",2163,7388687,29.3
,"2011","2011","Renal failure","N17-N19","80-84 years","80-84",2482,5786543,42.9
,"2011","2011","Renal failure","N17-N19","85-89 years","85-89",2554,Not Applicable,Not Applicable
,"2011","2011","Renal failure","N17-N19","90-94 years","90-94",1502,Not Applicable,Not Applicable
,"2011","2011","Renal failure","N17-N19","95-99 years","95-99",449,Not Applicable,Not Applicable
,"2011","2011","Renal failure","N17-N19","100+ years","100+",70,Not Applicable,Not Applicable
"Total","2011","2011","Renal failure","N17-N19",,,16108,311591917,5.2
"Total","2011","2011",,,,,32119,311591917,10.3
,"2012","2012","Other bacterial diseases","A30-A49","20-24 years","20-24",23,22583203,0.1
,"2012","2012","Other bacterial diseases","A30-A49","25-29 years","25-29",37,21398326,0.2
,"2012","2012","Other bacterial diseases","A30-A49","30-34 years","30-34",78,20910995,0.4
,"2012","2012","Other bacterial diseases","A30-A49","35-39 years","35-39",104,19488199,0.5
,"2012","2012","Other bacterial diseases","A30-A49","40-44 years","40-44",214,21028221,1.0
,"2012","2012","Other bacterial diseases","A30-A49","45-49 years","45-49",403,21689479,1.9
,"2012","2012","Other bacterial diseases","A30-A49","50-54 years","50-54",646,22579259,2.9
,"2012","2012","Other bacterial diseases","A30-A49","55-59 years","55-59",987,20772517,4.8
,"2012","2012","Other bacterial diseases","A30-A49","60-64 years ","60-64",1281,17813685,7.2
,"2012","2012","Other bacterial diseases","A30-A49","65-69 years","65-69",1438,13977353,10.3
,"2012","2012","Other bacterial diseases","A30-A49","70-74 years","70-74",1651,10008039,16.5
,"2012","2012","Other bacterial diseases","A30-A49","75-79 years","75-79",1973,7489583,26.3
,"2012","2012","Other bacterial diseases","A30-A49","80-84 years","80-84",2358,5783051,40.8
,"2012","2012","Other bacterial diseases","A30-A49","85-89 years","85-89",2379,Not Applicable,Not Applicable
,"2012","2012","Other bacterial diseases","A30-A49","90-94 years","90-94",1443,Not Applicable,Not Applicable
,"2012","2012","Other bacterial diseases","A30-A49","95-99 years","95-99",490,Not Applicable,Not Applicable
,"2012","2012","Other bacterial diseases","A30-A49","100+ years","100+",65,Not Applicable,Not Applicable
"Total","2012","2012","Other bacterial diseases","A30-A49",,,15596,313914040,5.0
,"2012","2012","Renal failure","N17-N19","20-24 years","20-24",23,22583203,0.1
,"2012","2012","Renal failure","N17-N19","25-29 years","25-29",38,21398326,0.2
,"2012","2012","Renal failure","N17-N19","30-34 years","30-34",79,20910995,0.4
,"2012","2012","Renal failure","N17-N19","35-39 years","35-39",105,19488199,0.5
,"2012","2012","Renal failure","N17-N19","40-44 years","40-44",214,21028221,1.0
,"2012","2012","Renal failure","N17-N19","45-49 years","45-49",407,21689479,1.9
,"2012","2012","Renal failure","N17-N19","50-54 years","50-54",654,22579259,2.9
,"2012","2012","Renal failure","N17-N19","55-59 years","55-59",990,20772517,4.8
,"2012","2012","Renal failure","N17-N19","60-64 years ","60-64",1291,17813685,7.2
,"2012","2012","Renal failure","N17-N19","65-69 years","65-69",1444,13977353,10.3
,"2012","2012","Renal failure","N17-N19","70-74 years","70-74",1655,10008039,16.5
,"2012","2012","Renal failure","N17-N19","75-79 years","75-79",1984,7489583,26.5
,"2012","2012","Renal failure","N17-N19","80-84 years","80-84",2371,5783051,41.0
,"2012","2012","Renal failure","N17-N19","85-89 years","85-89",2392,Not Applicable,Not Applicable
,"2012","2012","Renal failure","N17-N19","90-94 years","90-94",1448,Not Applicable,Not Applicable
,"2012","2012","Renal failure","N17-N19","95-99 years","95-99",492,Not Applicable,Not Applicable
,"2012","2012","Renal failure","N17-N19","100+ years","100+",66,Not Applicable,Not Applicable
"Total","2012","2012","Renal failure","N17-N19",,,15679,313914040,5.0
